,P_score,predict,real,stock_name,stock_code,Date
0,29.97,M0,P1,성호전자,043260,2019-03-06
0,26.5,M0,K0,LG생활건강,051900,2019-03-06
0,63.48,P0,M0,신세계,004170,2019-03-07
0,41.5,M0,P0,아모레퍼시픽,090430,2019-03-07
0,13.33,M0,P0,호텔신라,008770,2019-03-07
0,0.0,K0,P0,삼성전자,005930,2019-03-07
0,0.0,M0,P0,피에스케이홀딩스,031980,2019-03-07
0,91.73,P0,P0,제넥신,095700,2019-03-08
0,46.14,M0,P0,삼천당제약,000250,2019-03-08
0,43.62,M0,P0,한화솔루션,009830,2019-03-08
0,33.36,M0,K0,CJ ENM,035760,2019-03-08
0,30.45,M0,M0,카카오,035720,2019-03-08
0,64.74,P0,P0,한올바이오파마,009420,2019-03-11
0,54.69,P0,P0,삼성에스디에스,018260,2019-03-11
0,49.83,P0,M0,신한지주,055550,2019-03-11
0,39.94,M0,M0,디피씨,026890,2019-03-11
0,39.88,K0,P0,코웨이,021240,2019-03-11
0,75.0,P0,P0,부방,014470,2019-03-12
0,68.35,P0,K0,에스피지,058610,2019-03-13
0,41.29,M0,P0,NAVER,035420,2019-03-13
0,37.19,M0,P1,국일신동,060480,2019-03-14
0,32.06,M0,P0,카카오,035720,2019-03-14
0,26.93,M0,P0,SK,034730,2019-03-14
0,20.02,M0,P0,SK이노베이션,096770,2019-03-14
0,12.04,M0,M0,CJ대한통운,000120,2019-03-14
0,54.71,P0,M0,차바이오텍,085660,2019-03-15
0,46.37,M0,P0,한미약품,128940,2019-03-15
0,31.44,M0,P0,미코,059090,2019-03-18
0,23.97,M0,P0,라온시큐어,042510,2019-03-18
0,100.0,P0,P0,웰크론,065950,2019-03-19
0,60.21,P0,P0,메지온,140410,2019-03-19
0,52.65,P0,M0,에이치엘비,028300,2019-03-20
0,36.67,P0,P0,신풍제약,019170,2019-03-20
0,33.03,M0,P0,금호석유,011780,2019-03-20
0,0.0,K0,K0,LG디스플레이,034220,2019-03-20
0,0.0,M0,P0,제이엔케이히터,126880,2019-03-20
0,37.82,M0,P0,비에이치,090460,2019-03-21
0,36.06,M0,P0,후성,093370,2019-03-21
0,46.48,M0,P0,삼성화재,000810,2019-03-22
0,42.86,P0,P0,LG전자,066570,2019-03-22
0,20.03,M0,P0,한국항공우주,047810,2019-03-22
0,0.0,M0,M0,삼천당제약,000250,2019-03-22
0,54.56,P0,P0,KT&G,033780,2019-03-26
0,39.05,M0,P0,한샘,009240,2019-03-26
0,34.39,M0,P0,LG,003550,2019-03-26
0,31.5,M0,P0,헬릭스미스,084990,2019-03-26
0,21.96,M0,P0,현대모비스,012330,2019-03-26
0,75.68,P0,P0,로스웰,900260,2019-03-27
0,39.15,M0,P0,현대약품,004310,2019-03-27
0,28.7,M0,M0,LG전자,066570,2019-03-27
0,32.31,M0,P0,CJ ENM,035760,2019-03-28
0,22.4,M0,P0,현대모비스,012330,2019-03-28
0,43.51,P0,M0,코웨이,021240,2019-03-29
0,42.14,K0,P0,강원랜드,035250,2019-03-29
0,39.81,M0,P0,비에이치,090460,2019-03-29
0,36.87,M0,P0,SK,034730,2019-03-29
0,38.17,P0,K0,KT&G,033780,2019-04-01
0,37.61,M0,P0,한국콜마,161890,2019-04-04
0,34.96,M0,P0,휠라홀딩스,081660,2019-04-04
0,33.32,M0,P0,신세계,004170,2019-04-04
0,33.47,M0,P0,한샘,009240,2019-04-08
0,20.77,M0,K0,키이스트,054780,2019-04-08
0,63.24,P0,P0,에스에프에이,056190,2019-04-09
0,68.09,P0,P0,코웨이,021240,2019-04-10
0,55.11,P0,P0,위닉스,044340,2019-04-10
0,24.17,M0,P0,메디톡스,086900,2019-04-10
0,25.14,M0,P0,제이콘텐트리,036420,2019-04-11
0,21.52,M0,M0,디피씨,026890,2019-04-11
0,100.0,P0,P1,헝셩그룹,900270,2019-04-12
0,58.85,P0,K0,JYP Ent.,035900,2019-04-12
0,38.71,M0,P0,메리츠증권,008560,2019-04-12
0,36.62,M0,P0,삼성전자,005930,2019-04-12
0,29.39,M0,K0,한화솔루션,009830,2019-04-15
0,26.21,M0,K0,LG전자,066570,2019-04-15
0,20.7,M0,P0,하나금융지주,086790,2019-04-15
0,51.54,P0,P0,한창,005110,2019-04-16
0,44.6,P0,P0,LG,003550,2019-04-16
0,43.42,P0,P0,POSCO,005490,2019-04-16
0,28.55,M0,P0,고려아연,010130,2019-04-16
0,17.28,M0,P0,현대차,005380,2019-04-16
0,58.41,P0,M0,하나금융지주,086790,2019-04-17
0,45.1,M0,K0,한화솔루션,009830,2019-04-17
0,33.22,M0,K0,빅텍,065450,2019-04-17
0,32.79,M0,P0,한국항공우주,047810,2019-04-17
0,49.64,P0,K0,신세계,004170,2019-04-18
0,34.33,M0,K0,호텔신라,008770,2019-04-18
0,18.35,M0,P0,우리기술투자,041190,2019-04-18
0,76.96,P0,P0,코스맥스,192820,2019-04-19
0,38.27,M0,P0,삼천당제약,000250,2019-04-19
0,35.32,M0,P0,삼성바이오로직스,207940,2019-04-19
0,13.39,M0,K0,삼성물산,028260,2019-04-19
0,41.06,M0,K0,미래에셋대우,006800,2019-04-22
0,0.0,M0,K0,신한지주,055550,2019-04-22
0,46.18,P0,M0,실리콘웍스,108320,2019-04-23
0,45.49,P0,P0,KB금융,105560,2019-04-23
0,44.4,P0,P0,엔씨소프트,036570,2019-04-23
0,38.27,M0,P0,LG전자,066570,2019-04-23
0,7.05,K0,M0,성광벤드,014620,2019-04-23
0,61.02,P0,P1,넥슨지티,041140,2019-04-24
0,50.0,P0,M0,위닉스,044340,2019-04-24
0,48.15,M0,P0,기가레인,049080,2019-04-24
0,0.0,M0,P0,넷게임즈,225570,2019-04-24
0,92.59,P0,K0,원익IPS,240810,2019-04-25
0,76.22,P0,P0,신한지주,055550,2019-04-25
0,49.95,P0,M0,삼화콘덴서,001820,2019-04-25
0,37.91,M0,P0,LG상사,001120,2019-04-25
0,60.97,P0,P1,엘컴텍,037950,2019-04-26
0,46.44,M0,P0,한네트,052600,2019-04-26
0,40.0,K0,P0,아모레G,002790,2019-04-26
0,39.31,M0,P1,수산중공업,017550,2019-04-26
0,34.65,M0,M0,현대위아,011210,2019-04-26
0,48.53,M0,P0,신세계인터내셔날,031430,2019-04-29
0,40.0,P0,P0,에이치엘비,028300,2019-04-29
0,26.14,M0,P0,신한지주,055550,2019-04-29
0,24.08,M0,M0,광동제약,009290,2019-04-29
0,22.31,M0,P0,만도,204320,2019-04-29
0,44.45,M0,M0,엘비세미콘,061970,2019-04-30
0,35.4,M0,P0,신풍제약,019170,2019-04-30
0,40.78,M0,P0,메리츠증권,008560,2019-05-02
0,36.47,M0,P0,아모레G,002790,2019-05-02
0,46.6,P0,M0,한샘,009240,2019-05-07
0,33.67,M0,K0,LG생활건강,051900,2019-05-07
0,0.0,M0,P0,대림제지,017650,2019-05-07
0,49.58,P0,P0,신세계,004170,2019-05-08
0,29.2,K0,P0,위메이드,112040,2019-05-08
0,60.83,P0,P0,휠라홀딩스,081660,2019-05-09
0,47.47,P0,P0,엔씨소프트,036570,2019-05-10
0,46.25,P0,M0,기아차,000270,2019-05-10
0,42.93,M0,P0,호텔신라,008770,2019-05-10
0,41.35,M0,M0,제일기획,030000,2019-05-10
0,28.27,M0,P0,신세계인터내셔날,031430,2019-05-10
0,34.64,M0,P0,위지트,036090,2019-05-13
0,48.51,M0,P0,현대글로비스,086280,2019-05-14
0,0.0,K0,P0,호텔신라,008770,2019-05-14
0,42.91,M0,M0,메리츠증권,008560,2019-05-15
0,54.92,P0,P0,현대차,005380,2019-05-20
0,54.2,P0,K0,카카오,035720,2019-05-20
0,39.29,M0,P0,현대글로비스,086280,2019-05-20
0,0.0,M0,P0,KB금융,105560,2019-05-20
0,96.11,P0,P1,코위버,056360,2019-05-21
0,24.09,M0,P0,이글벳,044960,2019-05-21
0,68.77,P0,P0,서진시스템,178320,2019-05-22
0,52.43,P0,P0,호텔신라,008770,2019-05-22
0,46.16,P0,P0,현대글로비스,086280,2019-05-22
0,6.79,M0,K0,카카오,035720,2019-05-22
0,37.32,K0,P0,라이브플렉스,050120,2019-05-23
0,33.19,M0,P0,기아차,000270,2019-05-23
0,29.91,M0,K0,KB금융,105560,2019-05-28
0,45.85,P0,M0,휠라홀딩스,081660,2019-05-30
0,32.41,M0,P0,우리기술투자,041190,2019-05-30
0,27.3,M0,P0,대성미생물,036480,2019-05-31
0,33.6,M0,P0,신한지주,055550,2019-06-03
