,Date,stock_name,today_big_win,today_small_win,today_lose,tomorrow_big_win,tomorrow_small_win,tomorrow_lose,day2_big_win,day2_small_win,day2_lose,real_profit,Nasdaq,P_score
0,2018-12-07,부광약품,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378317334839074,U04,17.61
0,2018-12-10,삼성중공업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.016194331983805668,D04,32.38
0,2018-12-11,앤디포스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04299815961184541,U04,45.52
0,2018-12-11,세종텔레콤,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03937007874015748,U04,38.62
0,2018-12-11,현대약품,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,U04,34.8
0,2018-12-11,한국카본,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024602026049204053,U04,18.39
0,2018-12-11,파워로직스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429553264604811,U04,0.0
0,2018-12-12,화인베스틸,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024074074074074074,U02,55.26
0,2018-12-12,삼성중공업,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01756756756756757,U02,45.3
0,2018-12-12,콤텍시스템,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03115501519756839,U02,28.82
0,2018-12-12,위즈코프,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,U02,23.16
0,2018-12-12,대성창투,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04790419161676647,U02,21.67
0,2018-12-13,SG&G,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.075,U04,54.7
0,2018-12-13,현대로템,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860294117647059,U04,46.85
0,2018-12-13,대아티아이,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,U04,46.64
0,2018-12-13,이엑스티,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027559055118110236,U04,36.36
0,2018-12-14,쌍방울,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014689265536723164,D04,50.23
0,2018-12-14,한국선재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.029900332225913623,D04,30.42
0,2018-12-17,에이비프로바이오,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.013580246913580247,D04,29.15
0,2018-12-17,대주산업,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,D04,28.55
0,2018-12-17,KTcs,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02480916030534351,D04,27.89
0,2018-12-18,현대로템,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,D04,78.09
0,2018-12-18,이엑스티,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05179282868525897,D04,54.35
0,2018-12-18,파워로직스,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04537521815008726,D04,44.89
0,2018-12-18,뉴인텍,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049545454545454545,D04,40.87
