,Date,stock_name,today_big_win,today_small_win,today_lose,tomorrow_big_win,tomorrow_small_win,tomorrow_lose,day2_big_win,day2_small_win,day2_lose,real_profit,Nasdaq
0,2018-12-21,삼성중공업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06666666666666667,D04
0,2018-12-21,금호에이치티,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012647554806070826,D04
0,2018-12-21,한화솔루션,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,D04
0,2018-12-24,한온시스템,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,D04
0,2018-12-24,영화금속,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.03636363636363636,D04
0,2018-12-26,세우글로벌,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,D04
0,2018-12-26,국일제지,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,D04
0,2018-12-27,대우건설,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04046242774566474,U04
0,2018-12-27,남선알미늄,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07240704500978473,U04
0,2018-12-27,풍국주정,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013623978201634877,U04
0,2018-12-27,SG&G,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06279069767441861,U04
0,2018-12-27,KBI메탈,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033734939759036145,U04
0,2018-12-28,KC코트렐,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,U04
0,2018-12-28,대영포장,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.075,U04
