,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2015-12-28,16000,16800,16000,16800,120,P00,,,U01
1,2015-12-29,17450,18000,17450,18000,30,P00,P00P00,,T01
2,2015-12-30,18000,18000,18000,18000,30,K00,P00K00,P10K00,U04
3,2016-01-04,19000,19000,19000,19000,10,K00,K00K00,P10K00,D04
4,2016-01-05,18700,18700,18700,18700,10,K00,K00K00,P10K00,D04
5,2016-01-06,18800,18800,18800,18800,20,K00,K00K00,P10K00,T01
6,2016-01-07,20000,20000,20000,20000,0,K00,K00K00,S04K00,D04
7,2016-01-08,19000,19000,19000,19000,40,K00,K00K00,P10K00,D04
8,2016-01-11,19100,19100,19100,19100,4,K00,K00K00,P10K00,D04
9,2016-01-12,20000,20000,19000,19000,7,M00,K00M00,S04M00,T01
10,2016-01-13,19500,19500,19500,19500,5,K00,M00K00,S07K00,U04
11,2016-01-14,19200,19200,19200,19200,5,K00,K00K00,M10K00,D04
12,2016-01-15,19500,19500,19500,19500,2,K00,K00K00,P10K00,U04
13,2016-01-18,19000,19000,19000,19000,5,K00,K00K00,P10K00,U04
14,2016-01-19,18600,18600,18600,18600,20,K00,K00K00,P10K00,D04
15,2016-01-20,18500,18700,18500,18700,30,P00,K00P00,P10P00,T01
16,2016-01-21,18800,18900,18800,18900,20,P00,P00P00,P10P00,T01
17,2016-01-22,19000,19000,19000,19000,10,K00,P00K00,P10K00,T01
18,2016-01-25,18600,18800,18600,18800,110,P00,K00P00,P10P00,U04
19,2016-01-26,18500,19300,18500,19300,120,P00,P00P00,P10P00,D04
20,2016-01-27,18500,19300,18500,19300,20,P00,P00P00,P10P00,U04
21,2016-01-28,19300,19400,19300,19400,10,P00,P00P00,P10P00,D04
22,2016-01-29,19300,19300,19300,19300,4,K00,P00K00,P10K00,U04
23,2016-02-01,19300,19500,18250,19500,105,P02,K00P02,S04P02,U04
24,2016-02-02,18300,18300,18300,18300,16,K00,P00K00,P10K00,U02
25,2016-02-03,18500,18800,18500,18800,5,P00,K00P00,P10P00,D04
26,2016-02-04,18600,19000,18600,19000,3,P00,P00P00,P10P00,D04
27,2016-02-05,19150,19150,19100,19100,6,M00,P00M00,P10M00,U02
28,2016-02-11,19000,19000,19000,19000,2,K00,M00K00,S05K00,U04
29,2016-02-12,18900,18900,18900,18900,0,K00,K00K00,S04K00,D04
30,2016-02-15,18900,19000,18900,19000,5,P00,K00P00,S04P00,D04
31,2016-02-16,19000,19000,19000,19000,5,K00,P00K00,S04K00,U04
32,2016-02-17,19000,19000,19000,19000,2,K00,K00K00,S04K00,U04
33,2016-02-18,19200,19200,19200,19200,15,K00,K00K00,S04K00,U04
34,2016-02-19,19250,19250,19250,19250,5,K00,K00K00,P10K00,D04
35,2016-02-22,19250,19400,19000,19400,13,P01,K00P01,S04P01,U04
36,2016-02-23,19600,19600,19350,19350,8,M00,P00M00,S04M00,U04
37,2016-02-24,19300,19450,19300,19450,4,P00,M00P00,S03P00,D04
38,2016-02-25,19600,19600,19600,19600,10,K00,P00K00,S00K00,U04
39,2016-02-26,19550,19550,19550,19550,5,K00,K00K00,P10K00,U04
