,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2012-01-02,3450,3530,3425,3510,170333,P05,,,
1,2012-01-03,3525,3545,3465,3545,221862,P02,P00P02,,
2,2012-01-04,4075,4075,4075,4075,984466,K00,P00K00,P10K00,U04
3,2012-01-05,4685,4685,4600,4685,3226323,K01,K00K01,P10K01,T01
4,2012-01-06,4490,4590,4150,4150,4498668,M03,K00M03,P10M03,U04
5,2012-01-09,4050,4770,4030,4500,9147305,P15,M00P15,S07P15,U02
6,2012-01-10,4360,4595,4140,4145,3539238,M05,P10M05,S02M05,U01
7,2012-01-11,4200,4350,4000,4290,2128362,P05,M00P05,S06P05,U04
8,2012-01-12,4280,4285,3920,3930,1100236,M05,P00M05,S01M05,U04
9,2012-01-13,4090,4170,3995,4035,1504241,M05,M00M05,S07M05,U04
10,2012-01-16,4000,4095,3965,3990,458567,M05,M00M05,M10M05,U04
11,2012-01-17,4075,4285,4070,4110,1757205,P05,M00P05,M10P05,D04
12,2012-01-18,4140,4140,3885,3905,710759,M01,P00M01,S01M01,U04
13,2012-01-19,3950,3980,3805,3880,532868,M05,M00M05,S07M05,U04
14,2012-01-20,3865,3940,3835,3875,361798,K00,M00K00,M10K00,U04
15,2012-01-25,3925,3965,3880,3945,383679,P05,K00P05,S08P05,U01
16,2012-01-26,4000,4335,4000,4220,1790869,P03,P00P03,P10P03,U04
17,2012-01-27,4220,4250,4075,4085,705206,M05,P00M05,P10M05,D04
18,2012-01-30,4125,4170,3995,4025,605307,M05,M00M05,S03M05,U04
19,2012-01-31,4020,4115,3905,3940,530929,M05,M00M05,M10M05,T01
20,2012-02-01,3985,4370,3940,4250,1243525,P05,M00P05,M10P05,U01
21,2012-02-02,4250,4290,4135,4165,720772,M05,P00M05,S01M05,U04
22,2012-02-03,4220,4320,4140,4220,973520,K00,M00K00,S03K00,U04
23,2012-02-06,4275,4450,4250,4310,1063410,P05,K00P05,M10P05,U04
24,2012-02-07,4310,4955,4265,4955,3611424,P11,P00P11,P10P11,T01
25,2012-02-08,5110,5300,4770,4900,3979733,M05,P10M05,P10M05,U01
26,2012-02-09,5020,5530,4995,5300,5734932,P05,M00P05,S03P05,U04
