,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2012-01-02,9110,9110,8885,8926,73820,M01,,,
1,2012-01-03,8945,9148,8759,8908,322880,M05,M00M05,,
2,2012-01-04,8849,9115,8750,9039,118961,P05,M00P05,M10P05,U02
3,2012-01-05,9076,9137,8994,9058,97590,M05,P00M05,S02M05,T01
4,2012-01-06,9137,9280,8953,9039,135970,M05,M00M05,S05M05,U01
5,2012-01-09,9141,9141,8979,8983,77840,M01,M00M01,M10M01,T01
6,2012-01-10,8949,9073,8848,9095,141240,P01,M00P01,M10P01,T01
7,2012-01-11,9005,9433,8945,9170,87150,P05,P00P05,S00P05,U01
8,2012-01-12,9208,9230,8945,9151,149970,M05,P00M05,P10M05,U01
9,2012-01-13,9152,9152,8968,9114,82380,M02,M00M02,S03M02,U01
10,2012-01-16,9002,9046,8860,8945,200330,M05,M00M05,M10M05,U01
11,2012-01-17,9227,9227,8755,8964,237564,M01,M00M01,M10M01,D01
12,2012-01-18,8950,8950,8808,8830,167231,M01,M00M01,M10M01,U01
13,2012-01-19,8905,8946,8658,8889,168861,M05,M00M05,M10M05,U02
14,2012-01-20,8960,8998,8834,8983,64880,K01,M00K01,M10K01,U01
15,2012-01-25,8998,8998,8856,8983,135080,M02,K00M02,S01M02,T01
16,2012-01-26,8976,9036,8915,9020,68980,K01,M00K01,S04K01,U02
17,2012-01-27,8995,10056,8995,9793,969338,P03,K00P03,S04P03,D01
18,2012-01-30,9798,9899,9513,9700,286554,M05,P00M05,P10M05,U01
19,2012-01-31,9700,9764,9435,9643,268990,M05,M00M05,S03M05,T01
20,2012-02-01,9630,9630,9202,9510,253925,M02,M00M02,M10M02,T01
21,2012-02-02,9514,9514,9311,9416,157672,M01,M00M01,M10M01,U02
22,2012-02-03,9361,9443,9139,9304,190434,M05,M00M05,M10M05,U01
23,2012-02-06,9317,9581,9235,9606,226128,P01,M00P01,M10P01,U02
24,2012-02-07,9430,9857,9430,9737,328560,P03,P00P03,S01P03,T01
25,2012-02-08,9723,9745,8319,9606,273130,M05,P00M05,P10M05,T01
26,2012-02-09,9566,9689,9382,9547,230678,M05,M00M05,S06M05,U01
27,2012-02-10,9529,9529,9370,9491,136792,M02,M00M02,M10M02,U01
28,2012-02-13,9322,9690,9322,9529,181261,P03,M00P03,S04P03,D01
29,2012-02-14,9567,10710,9528,10286,1430134,P05,P00P05,S02P05,U01
30,2012-02-15,10310,10452,9819,10189,593437,M05,P00M05,P10M05,T01
31,2012-02-16,10178,10282,9956,10286,349390,P02,M00P02,S03P02,D01
32,2012-02-17,10239,11791,10239,11813,3653035,P10,P00P10,S00P10,U02
33,2012-02-20,12253,12985,11480,12643,3621074,P05,P10P05,P10P05,U02
34,2012-02-21,12739,12884,11985,12172,1259756,M05,P00M05,P10M05,T01
35,2012-02-22,12154,12193,10786,11096,1386595,M05,M00M05,S07M05,T01
36,2012-02-23,11090,12047,10884,11888,1346851,P05,M00P05,M10P05,D01
37,2012-02-24,12115,12115,11441,11567,565350,M01,P00M01,S00M01,U01
38,2012-02-27,11594,11594,10676,10682,586584,M01,M00M01,S03M01,T01
39,2012-02-28,10743,11092,10192,10379,646711,M05,M00M05,M10M05,T01
40,2012-02-29,10359,11401,10340,10832,718574,P05,M00P05,M10P05,U01
41,2012-03-02,11075,11094,10562,10832,374510,M05,P00M05,S02M05,U01
42,2012-03-05,10850,10850,10524,10832,308563,M02,M00M02,S03M02,D01
43,2012-03-06,10849,11400,10643,11096,445530,P05,M00P05,M10P05,D01
44,2012-03-07,10660,11008,10397,10888,599223,P05,P00P05,S01P05,D02
45,2012-03-08,11001,11269,10820,10963,361533,M05,P00M05,P10M05,U01
