,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2012-01-02,6690,6690,6380,6580,5800,M01,,,
1,2012-01-03,6540,6810,6540,6720,2976,P03,M00P03,,
2,2012-01-04,6800,6800,6600,6660,2110,M01,P00M01,S02M01,U04
3,2012-01-05,6860,6860,6660,6780,2560,M01,M00M01,S03M01,T01
4,2012-01-06,7290,7290,6760,6880,2690,M01,M00M01,M10M01,U04
5,2012-01-09,6740,7100,6740,6990,4210,P03,M00P03,M10P03,U02
6,2012-01-10,6810,6890,6730,6830,9520,K00,P00K00,S00K00,U01
7,2012-01-11,6830,7650,6780,7110,19791,P05,K00P05,P10P05,U04
8,2012-01-12,7110,7340,6810,6870,5418,M05,P00M05,P10M05,U04
9,2012-01-13,6870,6980,6800,6860,4035,M05,M00M05,S03M05,U04
10,2012-01-16,7010,7010,6740,6850,5659,M01,M00M01,M10M01,U04
11,2012-01-17,6900,7110,6750,6900,11860,K00,M00K00,M10K00,D04
12,2012-01-18,6850,6930,6800,6870,960,K00,K00K00,M10K00,U04
13,2012-01-19,6930,6930,6780,6880,981,M02,K00M02,S04M02,U04
14,2012-01-20,6920,7080,6810,6810,1425,M03,M00M03,S05M03,U04
15,2012-01-25,6820,6950,6760,6760,3400,M04,M00M04,M10M04,U01
16,2012-01-26,6760,7770,6760,7770,83039,P10,M00P10,M10P10,U04
17,2012-01-27,7950,8770,6970,7010,158379,M15,P10M15,S02M15,D04
18,2012-01-30,7080,7120,6750,6980,16760,M05,M10M05,S03M05,U04
19,2012-01-31,6910,6920,6800,6900,6390,M05,M00M05,M10M05,T01
20,2012-02-01,6800,6960,6800,6830,3150,K02,M00K02,M10K02,U01
21,2012-02-02,6830,6920,6790,6820,6360,M05,K00M05,S08M05,U04
22,2012-02-03,6850,6860,6800,6860,3790,K01,M00K01,S04K01,U04
23,2012-02-06,6870,6900,6820,6880,2970,K00,K00K00,S04K00,U04
24,2012-02-07,6910,6970,6810,6890,1420,M05,K00M05,S04M05,T01
25,2012-02-08,7080,7080,6880,6940,1940,M01,M00M01,S04M01,U01
26,2012-02-09,7030,7070,6900,7020,2350,M05,M00M05,M10M05,U04
27,2012-02-10,7080,7440,7000,7260,6720,P05,M00P05,M10P05,U04
28,2012-02-13,7370,7430,7060,7220,5260,M05,P00M05,S01M05,D04
29,2012-02-14,7050,7300,7050,7160,3250,P03,M00P03,S03P03,U04
30,2012-02-15,7160,7220,7020,7200,3560,P05,P00P05,S08P05,T01
31,2012-02-16,7200,7240,7080,7240,2790,P02,P00P02,P10P02,D04
32,2012-02-17,7150,7200,7100,7190,3600,P05,P00P05,P10P05,U04
33,2012-02-20,7070,7280,7070,7240,2861,P03,P00P03,P10P03,U04
34,2012-02-21,7150,7160,7130,7130,2920,M03,P00M03,P10M03,T01
35,2012-02-22,7080,7200,7080,7080,3796,K02,M00K02,S06K02,T01
36,2012-02-23,7080,7240,7080,7080,1421,K02,K00K02,S04K02,D04
37,2012-02-24,7060,7130,7010,7090,1300,K00,K00K00,S04K00,U04
38,2012-02-27,7130,7130,7010,7090,2660,M02,K00M02,S04M02,U03
39,2012-02-28,7020,7020,6930,6930,3052,M00,M00M00,S04M00,U01
40,2012-02-29,6840,6960,6800,6880,1191,P05,M00P05,M10P05,U04
41,2012-03-02,7160,7160,6810,7000,1850,M01,P00M01,S08M01,U04
42,2012-03-05,7070,7070,6850,6970,2860,M01,M00M01,S05M01,D04
43,2012-03-06,6970,6970,6780,6790,3431,M01,M00M01,M10M01,D04
44,2012-03-07,6830,6900,6770,6860,2260,K00,M00K00,M10K00,D04
45,2012-03-08,6780,6860,6750,6850,2020,P05,K00P05,S01P05,U04
46,2012-03-09,6810,6850,6710,6790,4440,M05,P00M05,P10M05,U04
47,2012-03-12,6780,6830,6640,6650,1824,M05,M00M05,S06M05,U04
48,2012-03-13,6620,6730,6620,6660,396,P03,M00P03,M10P03,T01
49,2012-03-14,6670,6790,6600,6780,1960,P05,P00P05,S00P05,U04
50,2012-03-15,6650,6740,6630,6710,271,P05,P00P05,P10P05,T01
51,2012-03-16,6750,6870,6650,6830,1790,P05,P00P05,P10P05,U04
52,2012-03-19,6850,6900,6810,6850,926,K00,P00K00,P10K00,T01
53,2012-03-20,6990,6990,6730,6800,440,M01,K00M01,P10M01,U04
54,2012-03-21,6800,6890,6700,6700,2170,M03,M00M03,S07M03,T01
55,2012-03-22,7140,7140,6660,6840,790,M01,M00M01,M10M01,U01
56,2012-03-23,6800,6800,6720,6750,590,M01,M00M01,M10M01,D04
57,2012-03-26,7080,7080,6750,6800,1500,M01,M00M01,M10M01,U02
58,2012-03-27,6960,6960,6710,6810,140,M01,M00M01,M10M01,U04
59,2012-03-28,6790,6890,6650,6680,921,M05,M00M05,M10M05,T01
60,2012-03-29,6600,6770,6540,6660,2140,P05,M00P05,M10P05,D04
61,2012-03-30,6530,6680,6510,6680,901,P01,P00P01,S08P01,D04
62,2012-04-02,6680,6820,6680,6770,40,P03,P00P03,P10P03,T01
63,2012-04-03,6630,6690,6630,6640,120,K02,P00K02,P10K02,U04
64,2012-04-04,7050,7050,6600,6660,2080,M01,K00M01,P10M01,T01
65,2012-04-05,6660,6860,6650,6650,440,M04,M00M04,S05M04,D04
66,2012-04-06,6650,6650,6410,6650,1140,K01,M00K01,M10K01,D04
67,2012-04-09,6350,6630,6300,6490,620,P05,K00P05,S04P05,U04
68,2012-04-10,6400,6590,6360,6510,630,P05,P00P05,P10P05,D04
69,2012-04-12,6600,6600,6340,6570,80,M02,P00M02,P10M02,U04
70,2012-04-13,6500,6550,6330,6520,260,K01,M00K01,S05K01,U04
71,2012-04-16,6740,6740,6170,6660,380,M02,K00M02,S08M02,D04
72,2012-04-17,6880,6880,6390,6490,396,M01,M00M01,S05M01,D04
73,2012-04-18,6660,6660,6260,6490,1480,M01,M00M01,M10M01,U04
74,2012-04-19,6490,6490,5730,6030,4080,M01,M00M01,M10M01,D04
75,2012-04-20,5670,5980,5140,5300,10430,M05,M00M05,M10M05,D04
76,2012-04-23,5320,5330,5100,5260,3070,M05,M00M05,M10M05,T01
77,2012-04-24,5260,5340,5100,5290,1831,P05,M00P05,M10P05,D04
78,2012-04-25,5250,5330,4880,5280,690,P05,P00P05,S00P05,D04
79,2012-04-26,5450,5450,5300,5400,481,M02,P00M02,S04M02,U04
