,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2012-01-02,37000,37300,35550,35900,2973,M05,,,
1,2012-01-03,35500,35900,35000,35000,5714,M03,M00M03,,
2,2012-01-04,34850,37000,34700,35750,5667,P05,M00P05,M10P05,U04
3,2012-01-05,37050,37150,35100,35150,3972,M05,P00M05,S02M05,T01
4,2012-01-06,35500,35500,34500,34900,5249,M01,M00M01,S03M01,U04
5,2012-01-09,35700,35850,34300,35100,3514,M05,M00M05,M10M05,U02
6,2012-01-10,35700,37000,35300,35850,4739,K00,M00K00,M10K00,U01
7,2012-01-11,35850,36200,34900,34900,4406,M03,K00M03,S01M03,U04
8,2012-01-12,34900,35250,34650,34900,2933,K00,M00K00,S07K00,U04
9,2012-01-13,35800,35800,34200,34550,5508,M01,K00M01,M10M01,U04
10,2012-01-16,34250,34300,33200,33400,2757,M05,M00M05,S07M05,U04
11,2012-01-17,33200,34000,33200,33950,1556,P03,M00P03,M10P03,D04
12,2012-01-18,33850,34500,33000,33700,4618,M05,P00M05,S00M05,U04
13,2012-01-19,33250,34050,33150,33150,3817,M04,M00M04,S06M04,U04
14,2012-01-20,33150,33150,32400,32850,3603,M01,M00M01,M10M01,U04
15,2012-01-25,32850,32850,32000,32150,6086,M01,M00M01,M10M01,U01
16,2012-01-26,32000,32450,31500,32150,3670,K00,M00K00,M10K00,U04
17,2012-01-27,31850,32250,31500,31850,4802,K00,K00K00,S08K00,D04
18,2012-01-30,32350,32900,31500,32150,3195,M05,K00M05,S04M05,U04
19,2012-01-31,32200,36950,31500,36950,16814,P11,M00P11,S05P11,T01
20,2012-02-01,38900,38900,34600,35650,12398,M01,P10M01,S01M01,U01
21,2012-02-02,35650,36150,34300,35700,5321,K01,M00K01,S03K01,U04
22,2012-02-03,35750,37500,35200,36000,4636,P05,K00P05,S00P05,U04
23,2012-02-06,36000,36900,34550,35200,2852,M05,P00M05,S04M05,U04
24,2012-02-07,34550,35100,33700,33850,2362,M05,M00M05,S07M05,T01
25,2012-02-08,33300,35500,33300,34350,3668,P03,M00P03,M10P03,U01
26,2012-02-09,34350,38450,34350,36050,6031,P03,P00P03,S00P03,U04
27,2012-02-10,36900,37000,34750,34900,3418,M05,P00M05,P10M05,U04
28,2012-02-13,34050,35100,34050,34700,1136,P03,M00P03,S03P03,D04
29,2012-02-14,35950,35950,34200,34600,840,M01,P00M01,S08M01,U04
30,2012-02-15,34250,34650,34000,34050,1391,M05,M00M05,S03M05,T01
31,2012-02-16,34050,34450,33500,33500,1820,M03,M00M03,M10M03,D04
32,2012-02-17,33950,33950,31800,33600,2001,M02,M00M02,M10M02,U04
33,2012-02-20,32800,33550,32700,32900,1270,K02,M00K02,M10K02,U04
