,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2016-06-03,71347,71347,57592,61721,580128,M11,,,U01
1,2016-06-07,61599,62735,57292,60406,219545,M05,M10M05,,U01
2,2016-06-08,60822,65068,59805,61661,175491,P05,M00P05,M10P05,T01
3,2016-06-09,61301,62676,58907,59568,101329,M05,P00M05,S01M05,T01
4,2016-06-10,59745,62616,59506,62199,63740,P05,M00P05,S07P05,D01
5,2016-06-13,61958,61958,60104,60406,40207,M01,P00M01,S01M01,D02
6,2016-06-14,60104,61001,58430,58910,50833,M05,M00M05,S06M05,D01
7,2016-06-15,58907,59267,57592,58312,34510,M05,M00M05,M10M05,T01
8,2016-06-16,58370,58729,53526,55500,102636,M05,M00M05,M10M05,T01
9,2016-06-17,56217,56875,55021,56697,37666,P05,M00P05,M10P05,T01
10,2016-06-20,56396,56814,55021,55022,32606,M05,P00M05,S01M05,D01
11,2016-06-21,54721,55260,53585,55261,48795,P02,M00P02,S07P02,U01
12,2016-06-22,55379,56755,55260,56637,41801,P05,P00P05,S00P05,T01
13,2016-06-23,56576,57234,54960,56996,37794,P05,P00P05,P10P05,T01
14,2016-06-24,57412,57652,51970,53767,72193,M05,P00M05,P10M05,U02
15,2016-06-27,52031,54004,51491,53946,32444,P05,M00P05,S07P05,D04
16,2016-06-28,53346,54960,53047,54604,37430,P05,P00P05,S00P05,D03
17,2016-06-29,55140,56934,54363,55620,43507,P05,P00P05,P10P05,U03
18,2016-06-30,56217,57054,55738,56936,44493,P05,P00P05,P10P05,U03
19,2016-07-01,57234,59386,56396,58910,39377,P05,P00P05,P10P05,U02
20,2016-07-04,59745,59805,57532,58910,43378,M05,P00M05,P10M05,U02
21,2016-07-05,57772,57892,53764,54843,185911,M05,M00M05,S03M05,U01
22,2016-07-06,56157,56396,54601,55083,61312,M05,M00M05,M10M05,D01
23,2016-07-07,55558,55618,54183,54245,49283,M05,M00M05,M10M05,U01
24,2016-07-08,54542,54542,52986,53229,48109,M01,M00M01,M10M01,U01
25,2016-07-11,53286,53406,51671,52391,57248,M05,M00M05,M10M05,U02
26,2016-07-12,52270,53226,51671,51853,39477,M05,M00M05,M10M05,U01
27,2016-07-13,52090,52747,50893,51734,46793,M05,M00M05,M10M05,U01
28,2016-07-14,51432,52747,51313,52331,32179,P05,M00P05,M10P05,D01
29,2016-07-15,52389,53047,51491,51973,42679,M05,P00M05,S02M05,U01
30,2016-07-18,51970,52807,50476,51434,37872,M05,M00M05,S03M05,T01
31,2016-07-19,51371,54363,50954,54365,57565,P01,M00P01,M10P01,U01
32,2016-07-20,54183,55320,53226,55202,48031,P05,P00P05,S02P05,D01
33,2016-07-21,55021,55320,53466,53826,23931,M05,P00M05,P10M05,U02
34,2016-07-22,53764,54482,53406,53886,15499,K00,M00K00,S07K00,D01
35,2016-07-25,53885,54363,52927,53229,24002,M05,K00M05,S00M05,U01
36,2016-07-26,53346,53825,52568,53049,11304,M05,M00M05,S07M05,T01
37,2016-07-27,53047,53106,51252,52211,28916,M05,M00M05,M10M05,T01
38,2016-07-28,52209,53466,52209,53468,21738,P00,M00P00,M10P00,U01
39,2016-07-29,53047,53825,52389,53826,25751,P01,P00P01,S02P01,T01
40,2016-08-01,54183,54183,51851,51853,23950,M01,P00M01,P10M01,T01
41,2016-08-02,52209,53106,51133,51195,25898,M05,M00M05,S07M05,U01
42,2016-08-03,51073,51851,50476,51314,12986,K00,M00K00,M10K00,D01
43,2016-08-04,51313,53226,51313,53168,23779,P03,K00P03,S00P03,U01
44,2016-08-05,53226,53406,51192,51494,22405,M05,P00M05,P10M05,T01
45,2016-08-08,51911,52031,50774,50896,19852,M05,M00M05,S03M05,U02
46,2016-08-09,50893,51491,50774,50896,14626,K02,M00K02,M10K02,T01
47,2016-08-10,50893,52090,50774,51434,17769,P05,K00P05,S08P05,T01
48,2016-08-11,51371,52628,51133,51314,15739,M05,P00M05,P10M05,D01
49,2016-08-12,51911,52509,51073,51554,15863,M05,M00M05,S06M05,U01
50,2016-08-16,51073,51551,50714,50776,16540,M05,M00M05,M10M05,U01
51,2016-08-17,50714,50714,44314,44556,147403,M11,M00M11,M10M11,D01
52,2016-08-18,44614,45631,40667,41387,191628,M05,M10M05,M10M05,T01
53,2016-08-19,41563,42341,40488,41507,62559,M05,M00M05,M10M05,T01
54,2016-08-22,41384,42640,41264,42223,48703,P05,M00P05,M10P05,T01
55,2016-08-23,42043,42759,41743,42223,29503,K00,P00K00,S02K00,T01
56,2016-08-24,42581,42700,40787,41746,30646,M05,K00M05,P10M05,T01
57,2016-08-25,41503,41863,38993,39892,65085,M05,M00M05,S07M05,D01
58,2016-08-26,39830,39830,36600,37200,131815,M01,M00M01,M10M01,T01
59,2016-08-29,37377,38095,35822,36303,88829,M05,M00M05,M10M05,T01
60,2016-08-30,36838,37197,36002,36242,73171,M05,M00M05,M10M05,T01
61,2016-08-31,36361,36659,35523,36483,41795,K01,M00K01,M10K01,T01
62,2016-09-01,36480,37018,36181,36721,25783,P05,K00P05,S01P05,T01
63,2016-09-02,36540,38215,36301,37679,40343,P05,P00P05,S04P05,T01
64,2016-09-05,37497,41503,37497,41507,139899,P10,P00P10,P10P10,T01
65,2016-09-06,41624,41923,39770,41147,79913,M05,P10M05,P10M05,U01
66,2016-09-07,41324,41324,38873,39293,41434,M01,M00M01,S03M01,U01
67,2016-09-08,39650,41145,38155,38396,87310,M05,M00M05,M10M05,T01
68,2016-09-09,38394,39232,37856,38276,30458,M05,M00M05,M10M05,D01
69,2016-09-12,37438,37976,36002,36004,54224,M05,M00M05,M10M05,D03
70,2016-09-13,36181,37018,35882,37021,46252,P01,M00P01,M10P01,U02
71,2016-09-19,36659,37258,35822,36363,67760,M05,P00M05,S01M05,T01
72,2016-09-20,36421,38394,36181,37679,62256,P05,M00P05,S06P05,T01
73,2016-09-21,37557,37976,36600,37618,33814,K00,P00K00,S01K00,T01
74,2016-09-22,38035,39410,37497,38755,54130,P05,K00P05,P10P05,U02
75,2016-09-23,39172,40248,38813,39472,30279,P05,P00P05,P10P05,U01
76,2016-09-26,39650,39650,38753,39054,25278,M01,P00M01,P10M01,D01
77,2016-09-27,38873,40488,38334,40250,44059,P05,M00P05,S07P05,D01
78,2016-09-28,40787,40846,39770,40370,24484,M05,P00M05,S02M05,U01
79,2016-09-29,40428,40488,39351,40250,25184,M05,M00M05,S05M05,T01
80,2016-09-30,39770,40248,37676,38336,60552,M05,M00M05,M10M05,D01
81,2016-10-04,37976,38753,37258,38037,24993,K00,M00K00,M10K00,T01
82,2016-10-05,38334,38334,37317,37379,23791,M01,K00M01,S08M01,T01
83,2016-10-06,37018,37856,36780,37321,24938,P05,M00P05,S07P05,U01
84,2016-10-07,37377,37737,36659,36781,24031,M05,P00M05,S08M05,T01
85,2016-10-10,36780,38215,36780,38216,20414,P00,M00P00,S07P00,T01
86,2016-10-11,37976,40308,37976,39114,38865,P03,P00P03,S02P03,U01
87,2016-10-12,38873,39770,38334,39413,17461,P05,P00P05,P10P05,D02
88,2016-10-13,39410,39591,38454,38755,18940,M05,P00M05,P10M05,T01
89,2016-10-14,38813,38993,37916,38396,15878,M05,M00M05,S07M05,D01
90,2016-10-17,37976,38573,37856,38276,11505,P05,M00P05,M10P05,T01
91,2016-10-18,38274,38274,37078,37618,26416,M01,P00M01,S08M01,T01
92,2016-10-19,37617,37796,37197,37559,14625,M05,M00M05,S07M05,U01
93,2016-10-20,37497,37737,36659,37140,25003,M05,M00M05,M10M05,T01
94,2016-10-21,37438,37557,36659,36781,18838,M05,M00M05,M10M05,T01
95,2016-10-24,36600,37138,36062,36781,17802,K00,M00K00,M10K00,T01
96,2016-10-25,36540,37078,35463,35825,35645,M05,K00M05,S08M05,U02
97,2016-10-26,35284,36600,35104,36004,28092,P05,M00P05,S07P05,D01
98,2016-10-27,36301,37557,36002,37321,16891,P05,P00P05,S00P05,D01
99,2016-10-28,37497,37497,36301,36841,12602,M01,P00M01,P10M01,D01
100,2016-10-31,36899,36899,33909,35166,63800,M01,M00M01,S03M01,D01
101,2016-11-01,35284,36540,35165,36483,26554,P05,M00P05,M10P05,T01
102,2016-11-02,36062,36181,34507,34927,31967,M05,P00M05,S01M05,D01
103,2016-11-03,34326,35404,34326,34628,13352,P04,M00P04,S07P04,D01
104,2016-11-04,34208,35165,34029,34628,10781,P05,P00P05,S08P05,D01
105,2016-11-07,35404,35882,34925,35885,12802,P01,P00P01,P10P01,T01
106,2016-11-08,36301,36421,35344,36421,9340,K01,P00K01,P10K01,U03
107,2016-11-09,36480,36480,33551,35645,37815,M02,K00M02,P10M02,U01
108,2016-11-10,36361,38095,36361,37918,43629,P03,M00P03,S07P03,U02
109,2016-11-11,37737,38334,37138,38276,14525,P05,P00P05,S01P05,D01
110,2016-11-14,39770,40188,38753,39233,64481,M05,P00M05,P10M05,U01
111,2016-11-15,38753,39291,37916,38875,22181,K00,M00K00,S05K00,D01
112,2016-11-16,38454,39530,38454,38875,10415,P03,K00P03,S08P03,U02
113,2016-11-17,38873,39410,37916,38336,7092,M05,P00M05,P10M05,U01
114,2016-11-18,38095,38215,35882,36662,45161,M05,M00M05,S07M05,U01
115,2016-11-21,36122,36600,35643,35764,11895,M05,M00M05,M10M05,T01
116,2016-11-22,35702,36301,35284,36242,10629,P05,M00P05,M10P05,U01
117,2016-11-23,36480,36480,34567,35166,19565,M01,P00M01,S02M01,U01
118,2016-11-24,34925,35344,33430,34090,31302,M05,M00M05,S07M05,U01
119,2016-11-25,34148,34507,33310,34210,22833,K01,M00K01,M10K01,T01
