,종목코드,회사명
293,006840,AK홀딩스
294,006880,신송홀딩스
295,006890,태경케미컬
296,006910,보성파워텍
297,006920,모헨즈
298,006980,우성사료
299,007070,GS리테일
300,007110,일신석재
301,007120,미래아이앤지
302,007160,사조산업
303,007210,벽산
304,007280,한국특수형강
305,007310,오뚜기
306,007330,푸른저축은행
307,007340,디티알오토모티브
308,007370,진양제약
309,007390,네이처셀
310,007460,에이프로젠 KIC
311,007530,영신금속
312,007540,샘표
313,007570,일양약품
314,007590,동방아그로
315,007610,선도전기
316,007630,폴루스바이오팜
317,007660,이수페타시스
318,007680,대원
319,007690,국도화학
320,007700,F&F
321,007720,대명소노시즌
322,007770,한일화학
323,007810,코리아써키트
324,007820,에스엠코어
325,007860,서연
326,007980,태평양물산
327,008040,사조동아원
328,008060,대덕
329,008110,대동전자
330,008250,이건산업
331,008260,NI스틸
332,008290,원풍물산
333,008350,남선알미늄
334,008370,원풍
335,008420,문배철강
336,008470,부스타
337,008490,서흥
338,008500,일정실업
339,008560,메리츠증권
340,008600,윌비스
341,008700,아남전자
342,008730,율촌화학
343,008770,호텔신라
344,008800,행남사
345,008830,대동기어
346,008870,금비
347,008930,한미사이언스
348,008970,동양철관
349,009070,KCTC
350,009140,경인전자
351,009150,삼성전기
352,009160,SIMPAC
353,009180,한솔로지스틱스
354,009190,대양금속
355,009200,무림페이퍼
356,009240,한샘
357,009270,신원
358,009290,광동제약
359,009300,삼아제약
360,009310,참엔지니어링
361,009320,대우부품
362,009410,태영건설
363,009420,한올바이오파마
364,009440,KC그린홀딩스
365,009450,경동나비엔
366,009460,한창제지
367,009470,삼화전기
368,009520,포스코엠텍
369,009540,한국조선해양
370,009580,무림P&P
371,009620,삼보산업
372,009680,모토닉
373,009730,코센
374,009770,삼정펄프
375,009780,엠에스씨
376,009810,엔케이물산
377,009830,한화솔루션
378,009970,영원무역홀딩스
379,010040,한국내화
380,010050,우리종금
381,010060,OCI
382,010100,한국프랜지
383,010120,LS ELECTRIC
384,010130,고려아연
385,010140,삼성중공업
386,010170,대한광통신
387,010240,흥국
388,010280,쌍용정보통신
389,010400,우진아이엔에스
390,010420,한솔PNS
391,010470,오리콤
392,010580,지코
393,010600,웰바이오텍
394,010620,현대미포조선
395,010640,진양폴리
396,010660,화천기계
397,010690,화신
398,010770,평화홀딩스
399,010780,아이에스동서
400,010820,퍼스텍
401,010950,S-Oil
402,010960,삼호개발
403,011000,진원생명과학
404,011040,경동제약
405,011070,LG이노텍
406,011080,형지I&C
407,011090,에넥스
408,011150,CJ씨푸드
409,011170,롯데케미칼
410,011200,HMM
411,011210,현대위아
412,011230,삼화전자
413,011280,태림포장
414,011300,성안
415,011320,유니크
416,011330,유니켐
417,011370,서한
418,011390,부산산업
419,011420,갤럭시아에스엠
420,011500,한농화성
421,011560,세보엠이씨
422,011690,유양디앤유
423,011700,한신기계
424,011760,현대상사
425,011780,금호석유
426,011790,SKC
427,011810,STX
428,011930,신성이엔지
429,012030,DB
430,012160,영흥
431,012170,키위미디어그룹
432,012200,계양전기
433,012280,영화금속
434,012320,경동인베스트
435,012330,현대모비스
436,012340,뉴인텍
437,012450,한화에어로스페이스
438,012510,더존비즈온
439,012600,센트럴인사이트
440,012610,경인양행
441,012620,원일특강
442,012630,HDC
443,012690,모나리자
444,012700,리드코프
445,012750,에스원
446,012790,신일제약
447,012800,대창
448,012860,모베이스전자
449,013000,세우글로벌
450,013030,하이록코리아
451,013120,동원개발
452,013310,아진산업
453,013360,일성건설
454,013520,화승알앤에이
455,013570,디와이
456,013580,계룡건설
457,013700,까뮤이앤씨
458,013720,청보산업
459,013810,스페코
460,013870,지엠비코리아
461,013890,지누스
462,013990,아가방컴퍼니
463,014100,메디앙스
464,014130,한익스프레스
465,014160,대영포장
466,014190,원익큐브
467,014200,광림
468,014280,금강공업
469,014440,영보화학
470,014470,부방
471,014530,극동유화
472,014570,고려제약
473,014580,태경비케이
474,014620,성광벤드
475,014680,한솔케미칼
476,014710,사조씨푸드
477,014790,한라
478,014820,동원시스템즈
479,014830,유니드
480,014910,성문전자
481,014940,오리엔탈정공
482,014970,삼륭물산
483,014990,인디에프
484,015020,이스타코
485,015230,대창단조
486,015260,에이엔피
487,015350,부산가스
488,015360,예스코홀딩스
489,015540,쎌마테라퓨틱스
490,015590,큐로
491,015710,코콤
492,015750,성우하이텍
493,015760,한국전력
494,015860,일진홀딩스
495,015890,태경산업
496,016090,대현
497,016100,리더스코스메틱
498,016250,이테크건설
499,016360,삼성증권
500,016380,KG동부제철
501,016450,한세예스24홀딩스
502,016580,환인제약
503,016590,신대양제지
504,016600,큐캐피탈
505,016610,DB금융투자
506,016670,포비스티앤씨
507,016710,대성홀딩스
508,016740,두올
509,016790,현대사료
510,016800,퍼시스
511,016880,웅진
512,016920,카스
513,017000,신원종합개발
514,017040,광명전기
515,017180,명문제약
516,017250,인터엠
517,017370,우신시스템
518,017390,서울가스
519,017480,삼현철강
520,017510,세명전기
521,017550,수산중공업
522,017650,대림제지
523,017670,SK텔레콤
524,017800,현대엘리베이
525,017810,풀무원
526,017890,한국알콜
527,017900,광전자
528,017940,E1
529,017960,한국카본
530,018000,유니슨
531,018120,진로발효
532,018250,애경산업
533,018260,삼성에스디에스
534,018290,브이티지엠피
535,018310,삼목에스폼
536,018470,조일알미늄
537,018500,동원금속
538,018620,우진비앤지
539,018670,SK가스
540,018680,서울제약
541,018700,바른손
542,018880,한온시스템
543,019010,베뉴지
544,019170,신풍제약
545,019180,티에이치엔
546,019210,와이지-원
547,019440,세아특수강
548,019490,하이트론
549,019540,일지테크
550,019550,SBI인베스트먼트
551,019570,리더스 기술투자
552,019590,엠벤처투자
553,019660,글로본
554,019680,대교
555,019770,서연탑메탈
556,019990,에너토크
557,020000,한섬
558,020120,키다리스튜디오
559,020150,일진머티리얼즈
560,020180,대신정보통신
561,020400,대동금속
562,020560,아시아나항공
563,020710,시공테크
564,020760,일진디스플
565,021040,대호피앤씨
566,021050,서원
567,021080,에이티넘인베스트
568,021240,코웨이
569,021320,KCC건설
570,021650,한국큐빅
571,021820,세원정공
572,021880,메이슨캐피탈
573,022100,포스코 ICT
574,022220,정산애강
575,023000,삼원강재
576,023150,MH에탄올
577,023160,태광
578,023350,한국종합기술
579,023410,유진기업
580,023440,제일제강
581,023450,동남합성
582,023460,CNH
583,023530,롯데쇼핑
584,023590,다우기술
585,023600,삼보판지
586,023760,한국캐피탈
587,023770,플레이위드
588,023790,동일철강
589,023800,인지컨트롤스
590,023810,인팩
591,023890,한국아트라스비엑스
592,023900,풍국주정
593,023910,대한약품
594,023960,에쓰씨엔지니어링
595,024060,흥구석유
596,024070,WISCOM
597,024090,디씨엠
598,024110,기업은행
599,024120,KB오토시스
600,024720,한국콜마홀딩스
601,024740,한일단조
602,024800,유성티엔에스
603,024810,이화전기
604,024830,세원물산
605,024840,KBI메탈
606,024850,피에스엠씨
607,024880,케이피에프
608,024890,대원화성
609,024900,덕양산업
610,024910,경창산업
611,024940,PN풍년
612,024950,삼천리자전거
613,025000,KPX케미칼
614,025320,시노펙스
615,025440,대성엘텍
616,025530,SJM홀딩스
617,025540,한국단자
618,025550,한국선재
619,025560,미래산업
620,025620,제이준코스메틱
621,025750,한솔홈데코
622,025770,한국정보통신
623,025820,이구산업
624,025860,남해화학
625,025870,신라에스지
626,025880,케이씨피드
627,025890,한국주강
628,025900,동화기업
629,025950,동신건설
630,025980,아난티
631,026040,제이에스티나
632,026150,특수건설
633,026890,디피씨
634,026910,광진실업
635,026940,부국철강
636,026960,동서
637,027040,서울전자통신
638,027050,코리아나
639,027360,아주IB투자
640,027410,BGF
641,027580,상보
642,027710,팜스토리
643,027740,마니커
644,027830,대성창투
645,027970,세하
646,028040,미래SCI
647,028050,삼성엔지니어링
648,028080,휴맥스홀딩스
649,028100,동아지질
650,028150,GS홈쇼핑
651,028260,삼성물산
652,028300,에이치엘비
653,028670,팬오션
654,029460,케이씨
655,029480,릭스솔루션
656,029530,신도리코
657,029780,삼성카드
658,029960,코엔텍
659,030000,제일기획
660,030190,NICE평가정보
661,030200,KT
662,030210,KTB투자증권
663,030350,드래곤플라이
664,030520,한글과컴퓨터
665,030530,원익홀딩스
666,030610,교보증권
667,030720,동원수산
668,030790,비케이탑스
669,030960,양지사
670,031310,아이즈비전
671,031330,에스에이엠티
672,031390,녹십자셀
673,031430,신세계인터내셔날
674,031440,신세계푸드
675,031510,오스템
676,031820,콤텍시스템
677,031860,엔에스엔
678,031980,피에스케이홀딩스
679,032080,아즈텍WB
680,032190,다우데이타
681,032280,삼일
682,032300,한국파마
683,032350,롯데관광개발
684,032500,케이엠더블유
685,032540,TJ미디어
686,032560,황금에스티
687,032580,피델릭스
688,032620,유비케어
689,032640,LG유플러스
690,032680,소프트센
691,032750,삼진
692,032790,엠젠플러스
693,032800,판타지오
694,032820,우리기술
695,032830,삼성생명
696,032850,비트컴퓨터
697,032860,글로스퍼랩스
698,032940,원익
699,032960,동일기연
700,032980,바이온
701,033050,제이엠아이
702,033100,제룡전기
703,033110,코너스톤네트웍스
704,033130,디지틀조선
705,033160,엠케이전자
706,033170,시그네틱스
707,033180,필룩스
708,033200,모아텍
709,033230,인성정보
710,033240,자화전자
711,033250,체시스
712,033270,유나이티드제약
713,033290,코웰패션
714,033310,엠투엔
715,033320,제이씨현시스템
716,033340,좋은사람들
717,033430,디에스티
718,033500,동성화인텍
719,033530,세종공업
720,033540,파라텍
721,033560,블루콤
722,033600,럭슬
723,033640,네패스
724,033660,아주캐피탈
725,033780,KT&G
726,033790,스카이문스테크놀로지
727,033830,티비씨
728,033920,무학
729,034020,두산중공업
730,034120,SBS
731,034220,LG디스플레이
732,034230,파라다이스
733,034300,신세계건설
734,034310,NICE
735,034590,인천도시가스
736,034730,SK
737,034810,해성산업
738,034830,한국토지신탁
739,034940,조아제약
740,034950,한국기업평가
741,035000,지투알
742,035080,인터파크
743,035150,백산
744,035200,프럼파스트
745,035250,강원랜드
746,035290,더블유에프엠
747,035420,NAVER
748,035460,기산텔레콤
749,035510,신세계 I&C
750,035600,KG이니시스
751,035610,솔본
752,035620,바른손이앤에이
753,035720,카카오
754,035760,CJ ENM
755,035810,이지홀딩스
756,035890,서희건설
757,035900,JYP Ent.
758,036000,예림당
759,036010,아비코전자
760,036030,KTH
761,036090,위지트
762,036120,SCI평가정보
763,036170,라이브파이낸셜
764,036180,에이프런티어
765,036190,금화피에스시
766,036200,유니셈
767,036260,이매진아시아
768,036420,제이콘텐트리
769,036460,한국가스공사
770,036480,대성미생물
771,036490,SK머티리얼즈
772,036530,S&T홀딩스
773,036540,SFA반도체
774,036560,영풍정밀
775,036570,엔씨소프트
776,036580,팜스코
777,036620,버추얼텍
778,036630,세종텔레콤
779,036640,HRS
780,036670,KCI
781,036690,코맥스
782,036710,심텍홀딩스
783,036800,나이스정보통신
784,036810,에프에스티
785,036830,솔브레인홀딩스
786,036890,진성티이씨
787,036930,주성엔지니어링
788,037030,파워넷
789,037070,파세코
790,037230,한국팩키지
791,037270,YG PLUS
792,037330,인지디스플레
793,037350,성도이엔지
794,037370,EG
795,037400,우리조명
796,037440,희림
797,037460,삼지전자
798,037560,LG헬로비전
799,037710,광주신세계
800,037760,쎄니트
801,037950,엘컴텍
802,038010,제일테크노스
803,038060,루멘스
804,038070,서린바이오
805,038110,에코플라스틱
806,038160,팍스넷
807,038290,마크로젠
808,038340,UCI
809,038390,레드캡투어
810,038460,바이오스마트
811,038500,삼표시멘트
812,038530,골드퍼시픽
813,038540,상상인
814,038620,위즈코프
815,038680,에스넷
816,038870,에코바이오
817,038880,아이에이
818,038950,파인디지털
819,039010,현대통신
820,039020,이건홀딩스
821,039030,이오테크닉스
822,039130,하나투어
823,039200,오스코텍
824,039230,에이아이비트
825,039240,경남스틸
826,039290,인포뱅크
827,039310,세중
828,039340,한국경제TV
829,039420,케이엘넷
830,039440,에스티아이
831,039490,키움증권
832,039560,다산네트웍스
833,039570,HDC아이콘트롤스
834,039610,화성밸브
835,039670,한류타임즈
836,039740,한국정보공학
837,039830,오로라
838,039840,디오
839,039860,나노엔텍
840,039980,리노스
841,040160,누리텔레콤
842,040300,YTN
843,040350,큐로컴
844,040420,정상제이엘에스
845,040610,SG&G
846,040910,아이씨디
847,041020,인프라웨어
848,041140,넥슨지티
849,041190,우리기술투자
850,041440,에버다임
851,041460,한국전자인증
852,041510,에스엠
853,041520,이라이콤
854,041590,젬백스지오
855,041650,상신브레이크
856,041830,인바디
857,041910,에스텍파마
858,041920,메디아나
859,041930,동아화성
860,041960,코미팜
861,042000,카페24
862,042040,케이피엠테크
863,042110,에스씨디
864,042370,비츠로테크
865,042420,네오위즈홀딩스
866,042500,링네트
867,042510,라온시큐어
868,042520,한스바이오메드
869,042600,새로닉스
870,042660,대우조선해양
871,042670,두산인프라코어
872,042700,한미반도체
873,042940,상지카일룸
874,043090,큐브앤컴퍼니
875,043100,솔고바이오
876,043150,바텍
877,043200,파루
878,043220,에이치엘비파워
879,043260,성호전자
880,043290,케이맥
881,043340,에쎈테크
882,043360,디지아이
883,043370,평화정공
884,043590,크로바하이텍
885,043610,지니뮤직
886,043650,국순당
887,043710,서울리거
888,043910,자연과환경
889,044060,조광ILI
890,044180,KD
891,044340,위닉스
892,044380,주연테크
893,044450,KSS해운
894,044480,경남바이오파마
895,044490,태웅
896,044780,에이치케이
897,044820,코스맥스비티아이
898,044960,이글벳
899,045060,오공
900,045100,한양이엔지
901,045300,성우테크론
902,045340,토탈소프트
903,045390,대아티아이
904,045510,정원엔시스
905,045520,크린앤사이언스
906,045660,에이텍
907,045890,GV
908,045970,코아시아
909,046070,코다코
910,046110,한일네트웍스
911,046120,오르비텍
912,046140,SBS콘텐츠허브
913,046210,파나진
914,046310,백금T&A
915,046390,삼화네트웍스
916,046440,KG모빌리언스
917,046890,서울반도체
918,046940,우원개발
919,046970,우리로
920,047040,대우건설
921,047050,포스코인터내셔널
922,047080,한빛소프트
923,047310,파워로직스
924,047400,유니온머티리얼
925,047560,이스트소프트
926,047770,코데즈컴바인
927,047810,한국항공우주
928,047820,초록뱀
929,047920,메디포럼제약
930,048260,오스템임플란트
931,048410,현대바이오
932,048430,유라테크
933,048470,대동스틸
934,048530,인트론바이오
935,048550,SM C&C
936,048770,TPC
937,048830,엔피케이
938,048870,시너지이노베이션
939,048910,대원미디어
940,049070,인탑스
941,049080,기가레인
942,049120,파인디앤씨
943,049180,셀루메드
944,049430,코메론
945,049470,SGA
946,049480,오픈베이스
947,049520,유아이엘
948,049550,잉크테크
949,049630,재영솔루텍
950,049720,고려신용정보
951,049770,동원F&B
952,049800,우진플라임
953,049830,승일
954,049950,미래컴퍼니
955,049960,쎌바이오텍
956,050090,휘닉스소재
957,050110,캠시스
958,050120,라이브플렉스
959,050320,아래스
960,050540,한국코퍼레이션
961,050760,에스폴리텍
962,050860,아세아텍
963,050890,쏠리드
964,050960,수산아이앤티
965,051160,지어소프트
966,051360,토비스
967,051370,인터플렉스
968,051380,피씨디렉트
969,051390,YW
970,051490,나라엠앤디
971,051500,CJ프레시웨이
972,051600,한전KPS
973,051630,진양화학
974,051780,큐로홀딩스
975,051900,LG생활건강
976,051910,LG화학
977,051980,센트럴바이오
978,052020,에스티큐브
979,052190,이에스에이
980,052220,iMBC
981,052260,현대바이오랜드
982,052300,W홀딩컴퍼니
983,052330,코텍
984,052400,코나아이
985,052420,오성첨단소재
986,052460,아이크래프트
987,052600,한네트
988,052670,제일바이오
989,052690,한전기술
990,052710,아모텍
991,052770,아이톡시
992,052790,액토즈소프트
993,052860,아이앤씨
994,052900,KMH하이텍
995,053030,바이넥스
996,053050,지에스이
997,053060,세동
998,053080,원방테크
999,053110,소리바다
1000,053160,프리엠스
1001,053210,스카이라이프
1002,053260,금강철강
1003,053270,구영테크
1004,053280,예스24
1005,053290,NE능률
1006,053300,한국정보인증
1007,053350,이니텍
1008,053450,세코닉스
1009,053580,웹케시
1010,053590,한국테크놀로지
1011,053610,프로텍
1012,053620,태양
1013,053660,현진소재
1014,053690,한미글로벌
1015,053700,삼보모터스
1016,053800,안랩
1017,053950,경남제약
1018,053980,오상자이엘
1019,054040,한국컴퓨터
1020,054050,농우바이오
1021,054090,삼진엘앤디
1022,054180,메디콕스
1023,054210,이랜텍
1024,054220,비츠로시스
1025,054300,팬스타엔터프라이즈
1026,054410,케이피티유
1027,054450,텔레칩스
1028,054540,삼영엠텍
1029,054620,APS홀딩스
1030,054630,에이디칩스
1031,054670,대한뉴팜
1032,054780,키이스트
1033,054800,아이디스홀딩스
1034,054920,한컴위드
1035,054930,유신
1036,054940,엑사이엔씨
1037,054950,제이브이엠
1038,055490,테이팩스
1039,055550,신한지주
1040,056000,네스엠
1041,056080,유진로봇
1042,056090,유앤아이
1043,056190,에스에프에이
1044,056360,코위버
1045,056700,신화인터텍
1046,056730,포스링크
1047,057030,YBM넷
1048,057050,현대홈쇼핑
1049,057500,SKC 솔믹스
1050,057540,옴니시스템
1051,057680,티사이언티픽
1052,057880,필로시스헬스케어
1053,058110,멕아이씨에스
1054,058220,아리온
1055,058400,KNN
1056,058420,제이웨이
1057,058430,포스코강판
1058,058450,일야
1059,058470,리노공업
1060,058530,슈펙스비앤피
1061,058610,에스피지
1062,058630,엠게임
1063,058650,세아홀딩스
1064,058730,다스코
1065,058820,CMG제약
1066,058850,KTcs
1067,058860,KTis
1068,059090,미코
1069,059100,아이컴포넌트
1070,059120,아진엑스텍
1071,059210,메타바이오메드
1072,060150,인선이엔티
1073,060230,이그잭스
1074,060240,룽투코리아
1075,060250,NHN한국사이버결제
1076,060260,뉴보텍
1077,060280,큐렉소
1078,060300,레드로버
1079,060310,3S
1080,060370,KT서브마린
1081,060380,동양에스텍
1082,060480,국일신동
1083,060540,에스에이티
1084,060560,홈센타홀딩스
1085,060570,드림어스컴퍼니
1086,060590,씨티씨바이오
1087,060720,KH바텍
1088,060850,영림원소프트랩
1089,060900,대한그린파워
1090,060980,한라홀딩스
1091,061040,알에프텍
1092,061250,화일약품
1093,061970,엘비세미콘
1094,062860,티엘아이
1095,062970,피피아이
1096,063080,게임빌
1097,063160,종근당바이오
1098,063170,서울옥션
1099,063440,SM Life Design
1100,063570,한국전자금융
1101,063760,이엘피
1102,064090,에프앤리퍼블릭
1103,064240,홈캐스트
1104,064260,다날
1105,064290,인텍플러스
1106,064350,현대로템
1107,064480,브리지텍
1108,064510,에코마이스터
1109,064520,바른전자
1110,064550,바이오니아
1111,064760,티씨케이
1112,064800,젬백스링크
1113,064820,케이프
1114,064960,S&T모티브
1115,065060,지엔코
1116,065130,탑엔지니어링
1117,065150,MP그룹
1118,065170,넥스트BT
1119,065350,신성델타테크
1120,065370,위세아이텍
1121,065420,에스아이리소스
1122,065440,이루온
1123,065450,빅텍
1124,065500,오리엔트정공
1125,065510,휴비츠
1126,065530,전파기지국
1127,065560,녹원씨엔아이
1128,065570,삼영이엔씨
1129,065620,제낙스
1130,065650,메디프론
1131,065660,안트로젠
1132,065680,우주일렉트로
1133,065690,파커스
1134,065710,서호전기
1135,065770,CS
1136,065950,웰크론
1137,066110,한프
1138,066130,하츠
1139,066310,큐에스아이
1140,066360,체리부로
1141,066410,버킷스튜디오
1142,066430,와이오엠
1143,066570,LG전자
1144,066590,우수AMS
1145,066620,국보디자인
1146,066670,디스플레이텍
1147,066700,테라젠이텍스
1148,066790,씨씨에스
1149,066900,디에이피
1150,066910,손오공
1151,066970,엘앤에프
1152,066980,브레인콘텐츠
1153,067000,조이시티
1154,067010,이씨에스
1155,067080,대화제약
1156,067160,아프리카TV
1157,067170,오텍
1158,067280,멀티캠퍼스
1159,067290,JW신약
1160,067310,하나마이크론
1161,067390,아스트
1162,067570,엔브이에이치코리아
1163,067630,에이치엘비생명과학
1164,067730,로지시스
1165,067770,세진티에스
1166,067830,세이브존I&C
1167,067900,와이엔텍
1168,067920,이글루시큐리티
1169,067990,도이치모터스
1170,068050,팬엔터테인먼트
1171,068240,다원시스
1172,068270,셀트리온
1173,068290,삼성출판사
1174,068330,일신바이오
1175,068400,SK렌터카
1176,068760,셀트리온제약
1177,068790,DMS
1178,068930,디지털대성
1179,068940,아이씨케이
1180,069080,웹젠
1181,069110,코스온
1182,069140,누리플랜
1183,069260,휴켐스
1184,069330,유아이디
1185,069410,엔텔스
1186,069460,대호에이엘
1187,069510,에스텍
1188,069540,라이트론
1189,069620,대웅제약
1190,069640,한세엠케이
1191,069730,DSR제강
1192,069920,아이에스이커머스
1193,069960,현대백화점
1194,070300,엑스큐어
1195,070590,한솔인티큐브
1196,070960,용평리조트
1197,071050,한국금융지주
1198,071090,하이스틸
1199,071200,인피니트헬스케어
1200,071280,로체시스템즈
1201,071320,지역난방공사
1202,071460,위니아딤채
1203,071670,에이테크솔루션
1204,071840,롯데하이마트
1205,071850,캐스텍코리아
1206,071950,코아스
1207,071970,STX중공업
1208,072020,중앙백신
1209,072130,유엔젤
1210,072470,우리산업홀딩스
1211,072520,제넨바이오
1212,072710,농심홀딩스
1213,072770,율호
1214,072870,메가스터디
1215,072950,빛샘전자
1216,072990,에이치시티
1217,073010,케이에스피
1218,073070,에스모
1219,073110,엘엠에스
1220,073190,듀오백
1221,073240,금호타이어
1222,073490,이노와이어리스
1223,073540,에프알텍
1224,073560,우리손에프앤지
1225,073570,WI
1226,073640,테라사이언스
1227,074430,아미노로직스
1228,074600,원익QnC
