,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2018-12-19,6644,6698,5653,5988,132813,M05,,,U04
1,2018-12-20,5933,6289,5933,6031,37389,P04,M00P04,,D04
2,2018-12-21,5976,6073,5966,6074,5310,P01,P00P01,S00P01,D04
3,2018-12-24,6138,6246,6030,6160,7623,K00,P00K00,P10K00,D04
4,2018-12-26,6127,6224,6020,6128,6513,K00,K00K00,P10K00,D04
5,2018-12-27,6149,6149,5815,5955,3291,M01,K00M01,S04M01,U04
6,2018-12-28,5955,5987,5815,5955,8628,K01,M00K01,S07K01,U04
7,2019-01-02,5923,5923,5761,5762,1789,M01,K00M01,M10M01,U04
8,2019-01-03,5761,5826,5707,5805,2982,P05,M00P05,S07P05,U04
9,2019-01-04,5675,5923,5675,5826,2528,P03,P00P03,S00P03,D04
10,2019-01-07,5847,5966,5815,5848,2743,K02,P00K02,P10K02,U04
11,2019-01-08,5912,5912,5836,5848,2465,M01,K00M01,P10M01,U04
12,2019-01-09,5966,5966,5912,5912,3092,M00,M00M00,S03M00,U04
13,2019-01-10,5966,5966,5826,5902,437,M01,M00M01,M10M01,U04
14,2019-01-11,5923,6084,5826,5826,8988,M03,M00M03,M10M03,U04
15,2019-01-14,5923,6084,5923,6063,3458,P03,M00P03,M10P03,T01
16,2019-01-15,6127,6138,6030,6063,2779,M05,P00M05,S01M05,D04
17,2019-01-16,6063,6106,5998,6106,1886,P01,M00P01,S03P01,U04
18,2019-01-17,6127,6127,5976,6031,2400,M01,P00M01,S00M01,U02
19,2019-01-18,6030,6084,5923,6063,3735,P05,M00P05,S07P05,U04
20,2019-01-21,6052,6181,6052,6085,6980,P04,P00P04,S00P04,U04
21,2019-01-22,6095,6138,6084,6138,1136,P01,P00P01,S04P01,U04
22,2019-01-23,6084,6224,6084,6192,2464,P03,P00P03,P10P03,D04
23,2019-01-24,6246,6246,6192,6214,3730,M01,P00M01,P10M01,U01
24,2019-01-25,6160,6278,6160,6246,4674,P03,M00P03,S05P03,U04
25,2019-01-28,6300,6300,6256,6268,5781,M01,P00M01,S02M01,U04
26,2019-01-29,6278,6321,6256,6300,4549,K00,M00K00,S05K00,D04
27,2019-01-30,6278,6332,6235,6300,5786,K00,K00K00,S04K00,D04
28,2019-01-31,6343,6343,6278,6300,2592,M01,K00M01,S04M01,U04
29,2019-02-01,6138,6300,6138,6300,1878,P00,M00P00,S03P00,U04
30,2019-02-07,6300,6343,6300,6343,1822,P00,P00P00,S08P00,D04
31,2019-02-08,6343,6343,6213,6311,3241,M02,P00M02,P10M02,D04
32,2019-02-11,6310,6310,6246,6246,326,M00,M00M00,S04M00,U02
33,2019-02-12,6321,6321,6192,6257,4838,M01,M00M01,M10M01,U02
34,2019-02-13,6289,6289,6095,6192,12636,M01,M00M01,M10M01,U04
35,2019-02-14,6160,6224,6116,6192,3394,P05,M00P05,M10P05,U01
36,2019-02-15,6192,6192,6106,6182,3755,M02,P00M02,S08M02,U01
37,2019-02-18,6192,6213,6127,6192,2184,K01,M00K01,S04K01,U01
38,2019-02-19,6246,6289,6192,6289,7783,P01,K00P01,S04P01,U04
39,2019-02-20,6289,6289,6224,6257,35699,M01,P00M01,P10M01,U03
40,2019-02-21,6256,6256,6192,6246,685,M02,M00M02,S04M02,T01
41,2019-02-22,6246,6353,6203,6246,3465,K00,M00K00,S04K00,D04
42,2019-02-25,6170,6353,6170,6300,3627,P03,K00P03,S04P03,U04
43,2019-02-26,6203,6332,6203,6214,4001,K02,P00K02,P10K02,U04
44,2019-02-27,6332,6332,6224,6235,1840,M01,K00M01,P10M01,T01
45,2019-02-28,6267,6278,6181,6246,1834,M05,M00M05,S05M05,U01
46,2019-03-04,6246,6407,6246,6408,5779,P00,M00P00,M10P00,U04
47,2019-03-05,6461,6461,6267,6365,2379,M01,P00M01,S02M01,T01
48,2019-03-06,6364,6364,6310,6354,1492,M02,M00M02,S03M02,T01
49,2019-03-07,6386,6386,6224,6225,2353,M01,M00M01,M10M01,D04
50,2019-03-08,6235,6267,6138,6246,4299,K01,M00K01,M10K01,D04
51,2019-03-11,6224,6224,6138,6171,1974,M01,K00M01,S01M01,T01
52,2019-03-12,6181,6246,6181,6246,317,P00,M00P00,S07P00,U04
53,2019-03-13,6278,6278,6235,6257,46,M01,P00M01,S01M01,U04
54,2019-03-14,6256,6256,6235,6235,2324,M00,M00M00,S05M00,U04
55,2019-03-15,6246,6256,6192,6246,2425,K01,M00K01,S04K01,T01
56,2019-03-18,6192,6246,6192,6214,3125,K00,K00K00,S04K00,U04
57,2019-03-19,6246,6246,6213,6225,4984,M01,K00M01,S04M01,U04
