,date,close,open,change,nasdaq
0,2012-01-03,0.0,0.0,0.0,
1,2012-01-04,2648.72,2657.39,0.0167,U04
2,2012-01-05,2648.36,2639.9,-0.0001,T01
3,2012-01-06,2669.86,2642.57,0.008100000000000001,U04
4,2012-01-09,2674.22,2671.17,0.0016,U02
5,2012-01-10,2676.56,2682.98,0.0009,U01
6,2012-01-11,2702.5,2704.42,0.0097,U04
7,2012-01-12,2710.76,2695.77,0.0031,U04
8,2012-01-13,2724.7,2716.87,0.0051,U04
9,2012-01-17,2710.67,2707.41,-0.0051,D04
10,2012-01-18,2728.08,2736.34,0.0064,U04
11,2012-01-19,2769.71,2731.16,0.015300000000000001,U04
12,2012-01-20,2788.33,2779.74,0.0067,U04
13,2012-01-23,2786.7,2776.04,-0.0006,T01
14,2012-01-24,2784.17,2786.21,-0.0009,T01
15,2012-01-25,2786.64,2771.58,0.0009,U01
16,2012-01-26,2818.31,2803.23,0.011399999999999999,U04
17,2012-01-27,2805.28,2828.78,-0.0046,D04
18,2012-01-30,2816.55,2797.66,0.004,U04
19,2012-01-31,2811.94,2790.4,-0.0016,T01
20,2012-02-01,2813.84,2825.76,0.0007000000000000001,U01
21,2012-02-02,2848.27,2830.1,0.012199999999999999,U04
22,2012-02-03,2859.68,2854.1,0.004,U04
23,2012-02-06,2905.66,2888.95,0.0161,U04
24,2012-02-07,2901.99,2892.52,-0.0013,T01
25,2012-02-08,2904.08,2895.91,0.0007000000000000001,U01
26,2012-02-09,2915.86,2906.59,0.0040999999999999995,U04
27,2012-02-10,2927.23,2922.46,0.0039000000000000003,U04
28,2012-02-13,2903.88,2902.0,-0.008,D04
29,2012-02-14,2931.39,2926.21,0.0095,U04
30,2012-02-15,2931.83,2921.7,0.0002,T01
31,2012-02-16,2915.83,2943.42,-0.0055000000000000005,D04
32,2012-02-17,2959.85,2915.67,0.0151,U04
33,2012-02-21,2951.78,2958.22,-0.0027,T01
34,2012-02-22,2948.57,2957.3,-0.0011,T01
35,2012-02-23,2933.17,2942.77,-0.0052,D04
36,2012-02-24,2956.98,2933.16,0.008100000000000001,U04
37,2012-02-27,2963.75,2963.13,0.0023,U03
38,2012-02-28,2966.16,2945.87,0.0008,U01
39,2012-02-29,2986.76,2969.25,0.0069,U04
40,2012-03-01,2966.89,2991.67,-0.0067,D04
41,2012-03-02,2988.97,2979.11,0.0074,U04
42,2012-03-05,2976.19,2986.08,-0.0043,D04
43,2012-03-06,2950.48,2969.73,-0.0086,D04
44,2012-03-07,2910.32,2917.52,-0.013600000000000001,D04
45,2012-03-08,2935.69,2922.57,0.0087,U04
46,2012-03-09,2970.42,2954.4,0.0118,U04
47,2012-03-12,2988.34,2975.09,0.006,U04
48,2012-03-13,2983.66,2989.05,-0.0016,T01
49,2012-03-14,3039.88,3003.71,0.018799999999999997,U04
50,2012-03-15,3040.73,3042.21,0.0003,T01
51,2012-03-16,3056.37,3048.58,0.0051,U04
52,2012-03-19,3055.26,3058.49,-0.0004,T01
53,2012-03-20,3078.32,3057.24,0.0075,U04
54,2012-03-21,3074.15,3060.93,-0.0014000000000000002,T01
55,2012-03-22,3075.32,3077.44,0.0004,U01
56,2012-03-23,3063.32,3055.0,-0.0039000000000000003,D04
57,2012-03-26,3067.92,3066.37,0.0015,U02
58,2012-03-27,3122.57,3090.52,0.0178,U04
59,2012-03-28,3120.35,3124.06,-0.0007000000000000001,T01
60,2012-03-29,3104.96,3123.84,-0.0049,D04
61,2012-03-30,3095.36,3087.25,-0.0031,D04
