,날짜,종목코드,회사명,거래량
136,2018-12-26,195990,에이비프로바이오,628540.0
137,2018-12-26,174880,장원테크,92840.0
138,2018-12-27,064350,현대로템,1557744.0
139,2018-12-27,023900,풍국주정,783691.0
140,2018-12-27,004270,남성,450829.0
141,2018-12-27,047040,대우건설,1078547.0
142,2018-12-27,015760,한국전력,1430410.0
143,2018-12-27,024840,KBI메탈,813833.0
144,2018-12-27,008350,남선알미늄,11503688.0
145,2018-12-27,104480,티케이케미칼,2025805.0
146,2018-12-27,013700,까뮤이앤씨,360310.0
147,2018-12-27,009830,한화솔루션,508244.0
148,2018-12-27,006890,태경케미컬,23961.0
149,2018-12-27,009070,KCTC,77122.0
150,2018-12-27,004650,창해에탄올,191982.0
151,2018-12-27,040610,SG&G,972192.0
152,2018-12-27,084680,이월드,1300066.0
153,2018-12-28,013000,세우글로벌,822164.0
154,2018-12-28,004770,써니전자,469588.0
155,2018-12-28,099410,동방선기,173751.0
156,2018-12-28,038620,위즈코프,369217.0
157,2018-12-28,008600,윌비스,1455452.0
158,2018-12-28,014160,대영포장,3246663.0
159,2018-12-28,045390,대아티아이,3533509.0
160,2018-12-28,137950,제이씨케미칼,152143.0
161,2018-12-28,020180,대신정보통신,4127500.0
162,2018-12-28,119650,KC코트렐,239047.0
163,2018-12-28,038880,아이에이,179969.0
164,2019-01-02,109820,진매트릭스,40347.0
165,2019-01-02,000890,보해양조,59051382.0
166,2019-01-02,025980,아난티,5371377.0
167,2019-01-03,012280,영화금속,340082.0
168,2019-01-03,002900,동양물산,1437981.0
169,2019-01-03,017550,수산중공업,3930467.0
170,2019-01-03,005380,현대차,608591.0
171,2019-01-03,045390,대아티아이,10564629.0
172,2019-01-03,024840,KBI메탈,129912.0
173,2019-01-04,004270,남성,296901.0
174,2019-01-04,003490,대한항공,424001.0
175,2019-01-04,058400,KNN,44201.0
176,2019-01-07,104480,티케이케미칼,2053811.0
177,2019-01-09,096630,에스코넥,622245.0
178,2019-01-09,047310,파워로직스,957376.0
179,2019-01-09,025320,시노펙스,785164.0
180,2019-01-09,018880,한온시스템,1843464.0
181,2019-01-09,040610,SG&G,239091.0
182,2019-01-09,100700,세운메디칼,97026.0
183,2019-01-09,104480,티케이케미칼,1031017.0
184,2019-01-10,195990,에이비프로바이오,358265.0
185,2019-01-10,015760,한국전력,2085286.0
186,2019-01-10,078130,국일제지,22229824.0
187,2019-01-11,013000,세우글로벌,3403433.0
188,2019-01-11,087260,모바일어플라이언스,74585.0
189,2019-01-11,109820,진매트릭스,51210.0
190,2019-01-11,084680,이월드,573300.0
191,2019-01-11,104480,티케이케미칼,976459.0
192,2019-01-11,040610,SG&G,206138.0
193,2019-01-11,064350,현대로템,1064494.0
194,2019-01-14,016670,포비스티앤씨,2313961.0
195,2019-01-14,269620,시스웍,700552.0
196,2019-01-14,008350,남선알미늄,10889006.0
197,2019-01-14,004270,남성,547893.0
198,2019-01-14,000890,보해양조,17328357.0
199,2019-01-14,047770,코데즈컴바인,221404.0
200,2019-01-14,238090,앤디포스,65230.0
201,2019-01-14,119650,KC코트렐,110398.0
202,2019-01-14,020180,대신정보통신,1908305.0
203,2019-01-15,019170,신풍제약,748516.0
204,2019-01-15,001380,SG충방,495743.0
205,2019-01-15,032640,LG유플러스,1632799.0
206,2019-01-15,058400,KNN,90461.0
207,2019-01-15,053030,바이넥스,227748.0
208,2019-01-15,100700,세운메디칼,1092222.0
209,2019-01-16,011280,태림포장,134231.0
210,2019-01-16,238090,앤디포스,76753.0
211,2019-01-16,042110,에스씨디,1287217.0
212,2019-01-16,008600,윌비스,847819.0
213,2019-01-17,027580,상보,163215.0
214,2019-01-17,052600,한네트,91365.0
215,2019-01-17,012860,모베이스전자,457676.0
216,2019-01-18,000890,보해양조,7572443.0
217,2019-01-18,008600,윌비스,552608.0
218,2019-01-18,023150,MH에탄올,5091.0
219,2019-01-18,054630,에이디칩스,1368899.0
220,2019-01-18,145270,케이탑리츠,586645.0
221,2019-01-18,019170,신풍제약,648865.0
222,2019-01-18,011280,태림포장,120910.0
223,2019-01-18,053030,바이넥스,207613.0
224,2019-01-18,092220,KEC,1164447.0
225,2019-01-18,021040,대호피앤씨,1159746.0
226,2019-01-18,003620,쌍용차,171308.0
227,2019-01-21,038620,위즈코프,756767.0
228,2019-01-21,238090,앤디포스,120219.0
229,2019-01-21,123840,한일진공,279588.0
230,2019-01-21,025980,아난티,8217809.0
231,2019-01-21,001380,SG충방,388668.0
232,2019-01-21,004770,써니전자,481475.0
233,2019-01-21,104480,티케이케미칼,1013925.0
234,2019-01-22,004140,동방,252839.0
235,2019-01-22,064510,에코마이스터,343022.0
236,2019-01-22,220630,해마로푸드서비스,466774.0
237,2019-01-22,025750,한솔홈데코,4443143.0
238,2019-01-22,084680,이월드,813554.0
239,2019-01-22,011280,태림포장,117355.0
240,2019-01-23,076080,웰크론한텍,4384418.0
241,2019-01-23,052300,W홀딩컴퍼니,366438.0
242,2019-01-23,009070,KCTC,408650.0
243,2019-01-23,014580,태경비케이,8173279.0
244,2019-01-23,100700,세운메디칼,40028.0
245,2019-01-23,001380,SG충방,528068.0
246,2019-01-23,046120,오르비텍,944542.0
247,2019-01-23,032820,우리기술,1032105.0
248,2019-01-23,005860,한일사료,548142.0
249,2019-01-23,020560,아시아나항공,422585.0
250,2019-01-23,015760,한국전력,1465921.0
251,2019-01-23,013700,까뮤이앤씨,147316.0
252,2019-01-23,099220,SDN,339277.0
253,2019-01-23,034220,LG디스플레이,989511.0
254,2019-01-23,012160,영흥,950889.0
255,2019-01-23,057880,필로시스헬스케어,893225.0
256,2019-01-24,023900,풍국주정,483626.0
257,2019-01-24,232140,와이아이케이,721009.0
258,2019-01-24,008970,동양철관,5122307.0
259,2019-01-24,045390,대아티아이,2456999.0
260,2019-01-24,192250,케이사인,649697.0
261,2019-01-24,081150,티플랙스,3471654.0
262,2019-01-25,096630,에스코넥,1122854.0
263,2019-01-25,058850,KTcs,284544.0
264,2019-01-25,057880,필로시스헬스케어,132179.0
265,2019-01-25,010820,퍼스텍,299024.0
266,2019-01-25,000400,롯데손해보험,157876.0
267,2019-01-25,035620,바른손이앤에이,376648.0
268,2019-01-25,100130,동국S&C,182525.0
269,2019-01-25,109610,에스와이,150586.0
270,2019-01-25,032820,우리기술,1778454.0
271,2019-01-25,195990,에이비프로바이오,1359271.0
272,2019-01-25,005030,부산주공,180450.0
273,2019-01-25,064350,현대로템,1730662.0
274,2019-01-28,024840,KBI메탈,293502.0
275,2019-01-28,043260,성호전자,122804.0
276,2019-01-28,005390,신성통상,331839.0
277,2019-01-28,018880,한온시스템,947229.0
278,2019-01-28,006050,국영지앤엠,1038254.0
279,2019-01-29,001340,백광산업,292894.0
280,2019-01-29,057540,옴니시스템,196581.0
281,2019-01-29,170030,현대공업,12971.0
282,2019-01-29,000270,기아차,1002443.0
283,2019-01-29,054670,대한뉴팜,802910.0
284,2019-01-29,217500,러셀,1316941.0
285,2019-01-29,011930,신성이엔지,418421.0
286,2019-01-29,003490,대한항공,435575.0
287,2019-01-29,005860,한일사료,2583933.0
288,2019-01-29,145270,케이탑리츠,1512178.0
289,2019-01-29,008350,남선알미늄,25801419.0
290,2019-01-29,004020,현대제철,449685.0
291,2019-01-29,014130,한익스프레스,29199.0
292,2019-01-29,092220,KEC,842741.0
293,2019-01-29,214150,클래시스,254927.0
294,2019-01-29,001000,신라섬유,106798.0
295,2019-01-30,013990,아가방컴퍼니,74066.0
296,2019-01-30,065500,오리엔트정공,559043.0
297,2019-01-30,081150,티플랙스,1569773.0
298,2019-01-30,012160,영흥,420966.0
299,2019-01-30,043260,성호전자,99138.0
300,2019-01-30,025750,한솔홈데코,1522116.0
301,2019-01-30,009070,KCTC,689303.0
302,2019-01-30,025980,아난티,7416370.0
303,2019-01-30,109610,에스와이,802807.0
304,2019-01-30,004140,동방,260170.0
305,2019-01-30,032820,우리기술,1181862.0
306,2019-01-30,046120,오르비텍,724254.0
307,2019-01-30,006910,보성파워텍,579991.0
308,2019-01-30,028670,팬오션,1173851.0
309,2019-01-30,104480,티케이케미칼,1194205.0
310,2019-01-30,031820,콤텍시스템,3029336.0
311,2019-01-30,215480,토박스코리아,7139745.0
312,2019-01-30,141070,맥스로텍,98704.0
313,2019-01-30,027740,마니커,1098972.0
314,2019-01-30,005030,부산주공,218495.0
315,2019-01-30,119650,KC코트렐,80923.0
316,2019-01-30,012800,대창,151616.0
317,2019-01-30,002800,신신제약,391878.0
318,2019-01-30,001140,국보,9909.0
319,2019-01-30,045390,대아티아이,3795018.0
320,2019-01-30,001440,대한전선,572208.0
321,2019-01-30,047770,코데즈컴바인,95909.0
322,2019-01-30,001780,알루코,274637.0
323,2019-01-30,049630,재영솔루텍,1457724.0
324,2019-01-30,040610,SG&G,396439.0
325,2019-01-31,084680,이월드,4654105.0
326,2019-01-31,048430,유라테크,107978.0
327,2019-01-31,076080,웰크론한텍,192446.0
328,2019-01-31,025320,시노펙스,3816422.0
329,2019-01-31,005860,한일사료,555632.0
330,2019-01-31,014710,사조씨푸드,23035.0
331,2019-01-31,014580,태경비케이,633555.0
332,2019-01-31,054670,대한뉴팜,185169.0
333,2019-01-31,004830,덕성,33879.0
334,2019-01-31,011930,신성이엔지,532658.0
335,2019-01-31,049480,오픈베이스,942307.0
336,2019-01-31,024840,KBI메탈,319630.0
337,2019-01-31,269620,시스웍,92139.0
338,2019-01-31,001510,SK증권,15312478.0
339,2019-01-31,038530,골드퍼시픽,241317.0
340,2019-01-31,002760,보락,331660.0
341,2019-01-31,131220,대한과학,31101.0
342,2019-01-31,003010,혜인,341906.0
343,2019-01-31,104040,대성파인텍,261106.0
344,2019-01-31,019170,신풍제약,777058.0
345,2019-02-01,038880,아이에이,80270.0
346,2019-02-01,192250,케이사인,441800.0
