,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,82.81,P0,M0,서울제약,018680,2020-09-24,D04
0,81.57,P0,M0,영원무역홀딩스,009970,2020-09-24,D04
0,100.0,P0,P0,이엑스티,226360,2020-09-23,U04
0,87.77,P0,M0,푸드나무,290720,2020-09-23,U04
0,87.77,P0,M0,오리온,271560,2020-09-23,U04
0,79.96,P0,P0,종근당,185750,2020-09-23,U04
0,79.88,P0,P0,야스,255440,2020-09-23,U04
0,100.0,P0,M0,삼영엠텍,054540,2020-09-22,T01
0,89.82,P0,M0,계양전기,012200,2020-09-22,T01
0,88.87,P0,M0,센트럴바이오,051980,2020-09-22,T01
0,86.4,P0,M0,혜인,003010,2020-09-22,T01
0,85.69,P0,M0,삼천리,004690,2020-09-22,T01
0,100.0,P0,M0,스페코,013810,2020-09-21,D04
0,91.71,P0,M0,토비스,051360,2020-09-21,D04
0,87.47,P0,M0,갤럭시아에스엠,011420,2020-09-21,D04
0,84.95,P0,M0,일진전기,103590,2020-09-21,D04
0,84.27,P0,M0,파나진,046210,2020-09-21,D04
0,84.14,P0,P0,케이피에스,256940,2020-09-18,D04
0,82.96,P0,P0,데이타솔루션,263800,2020-09-18,D04
0,82.71,P0,K0,마니커,027740,2020-09-18,D04
0,81.84,P0,M0,네스엠,056000,2020-09-18,D04
0,80.67,P0,M0,동아화성,041930,2020-09-18,D04
0,100.0,P0,M0,화성밸브,039610,2020-09-17,D04
0,100.0,P0,P0,장원테크,174880,2020-09-17,D04
0,88.79,P0,M0,컴투스,078340,2020-09-17,D04
0,87.45,P0,P0,율호,072770,2020-09-17,D04
0,86.79,P0,M0,제룡산업,147830,2020-09-17,D04
0,82.78,P0,M0,세화피앤씨,252500,2020-09-16,U04
0,82.48,P0,P0,루미마이크로,082800,2020-09-16,U04
0,75.63,P0,P0,동국S&C,100130,2020-09-16,U04
0,74.18,P0,M0,상상인,038540,2020-09-16,U04
0,73.81,P0,M0,디지캡,197140,2020-09-16,U04
0,86.07,P0,P0,HMM,011200,2020-09-15,U04
0,81.5,P0,P0,삼영화학,003720,2020-09-15,U04
0,79.89,P0,M0,동서,026960,2020-09-15,U04
0,76.81,P0,P0,우리들제약,004720,2020-09-15,U04
0,73.75,P0,M0,OCI,010060,2020-09-15,U04
0,100.0,P0,M0,선데이토즈,123420,2020-09-14,D04
0,89.75,P0,K0,효성,004800,2020-09-14,D04
0,86.21,P0,P1,유테크,178780,2020-09-14,D04
0,83.68,P0,P0,일신석재,007110,2020-09-14,D04
0,82.95,P0,M0,심텍홀딩스,036710,2020-09-14,D04
0,84.0,P0,M0,휴메딕스,200670,2020-09-11,D04
0,81.31,P0,P0,현대비앤지스틸,004560,2020-09-11,D04
0,75.3,P0,M0,OQP,078590,2020-09-11,D04
0,73.99,P0,K0,삼지전자,037460,2020-09-11,D04
0,70.48,P0,M0,코세스,089890,2020-09-11,D04
0,90.22,P0,M0,필옵틱스,161580,2020-09-10,U04
0,88.9,P0,M0,라이브플렉스,050120,2020-09-10,U04
0,86.07,P0,M0,조이맥스,101730,2020-09-10,U04
0,83.43,P0,M0,아모레퍼시픽,090430,2020-09-10,U04
0,81.76,P0,P0,OQP,078590,2020-09-10,U04
0,83.29,P0,P1,한솔홈데코,025750,2020-09-09,D04
0,81.48,P0,P0,JTC,950170,2020-09-09,D04
0,79.42,P0,M0,제일약품,271980,2020-09-09,D04
0,79.02,P0,M0,파커스,065690,2020-09-09,D04
0,78.28,P0,M0,조아제약,034940,2020-09-09,D04
0,100.0,P0,M0,키움증권,039490,2020-09-08,D04
0,83.29,P0,M0,KG ETS,151860,2020-09-08,D04
0,80.0,P0,M0,매직마이크로,127160,2020-09-08,D04
0,78.51,P0,M0,영원무역,111770,2020-09-08,D04
0,76.94,P0,M0,브이원텍,251630,2020-09-08,D04
0,84.95,P0,K0,와이아이케이,232140,2020-09-07,D04
0,84.49,P0,P0,일진다이아,081000,2020-09-07,D04
0,84.27,P0,M0,현대글로비스,086280,2020-09-07,D04
0,74.73,P0,M0,일동제약,249420,2020-09-07,D04
0,73.04,P0,M0,제일약품,271980,2020-09-07,D04
0,87.94,P0,P0,성도이엔지,037350,2020-09-04,D04
0,86.03,P0,M0,백산,035150,2020-09-04,D04
0,85.22,P0,P0,케이사인,192250,2020-09-04,D04
0,82.75,P0,P1,에코프로,086520,2020-09-04,D04
0,80.78,P0,P0,푸드나무,290720,2020-09-04,D04
0,100.0,P0,M0,EDGC,245620,2020-09-03,U04
0,87.87,P0,M0,소프트센,032680,2020-09-03,U04
0,87.79,P0,K0,일진머티리얼즈,020150,2020-09-03,U04
0,86.18,P0,P0,부국철강,026940,2020-09-03,U04
0,84.53,P0,M0,셀트리온,068270,2020-09-03,U04
0,86.1,P0,M0,휴켐스,069260,2020-09-02,U04
0,85.68,P0,M0,네이처셀,007390,2020-09-02,U04
0,85.17,P0,P0,에프엔씨엔터,173940,2020-09-02,U04
0,84.44,P0,P0,아나패스,123860,2020-09-02,U04
0,83.74,P0,P0,뉴파워프라즈마,144960,2020-09-02,U04
