,종목코드,회사명,업종
205,004540,깨끗한나라,"펄프, 종이 및 판지 제조업"
206,004560,현대비앤지스틸,1차 철강 제조업
207,004590,한국가구,생활용품 도매업
208,004650,창해에탄올,알코올음료 제조업
209,004690,삼천리,연료용 가스 제조 및 배관공급업
210,004700,조광피혁,"가죽, 가방 및 유사제품 제조업"
211,004710,한솔테크닉스,전자부품 제조업
212,004720,우리들제약,의약품 제조업
213,004770,써니전자,반도체 제조업
214,004780,대륙제관,기타 금속 가공제품 제조업
215,004800,효성,기타 금융업
216,004830,덕성,플라스틱제품 제조업
217,004840,DRB동일,기타 금융업
218,004870,티웨이홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업"
219,004890,동일산업,1차 철강 제조업
220,004910,조광페인트,기타 화학제품 제조업
221,004920,씨아이테크,그외 기타 제품 제조업
222,004960,한신공영,건물 건설업
223,004970,신라교역,어로 어업
224,004980,성신양회,"시멘트, 석회, 플라스터 및 그 제품 제조업"
225,004990,롯데지주,기타 금융업
226,005010,휴스틸,1차 철강 제조업
227,005030,부산주공,자동차 신품 부품 제조업
228,005070,코스모신소재,기타 화학제품 제조업
229,005090,삼광글라스,유리 및 유리제품 제조업
230,005110,한창,기계장비 및 관련 물품 도매업
231,005160,동국산업,1차 철강 제조업
232,005180,빙그레,낙농제품 및 식용빙과류 제조업
233,005190,동성화학,기초 화학물질 제조업
234,005250,녹십자홀딩스,회사 본부 및 경영 컨설팅 서비스업
235,005290,동진쎄미켐,기초 화학물질 제조업
236,005300,롯데칠성,비알코올음료 및 얼음 제조업
237,005320,국동,생활용품 도매업
238,005360,모나미,생활용품 도매업
239,005380,현대차,자동차용 엔진 및 자동차 제조업
240,005390,신성통상,기타 전문 도매업
241,005420,코스모화학,기타 화학제품 제조업
242,005430,한국공항,기타 운송관련 서비스업
243,005440,현대그린푸드,종합 소매업
244,005490,POSCO,1차 철강 제조업
245,005500,삼진제약,의약품 제조업
246,005610,SPC삼립,기타 식품 제조업
247,005670,푸드웰,"과실, 채소 가공 및 저장 처리업"
248,005680,삼영전자,전자부품 제조업
249,005690,파미셀,기초 의약물질 및 생물학적 제제 제조업
250,005710,대원산업,자동차 신품 부품 제조업
251,005720,넥센,고무제품 제조업
252,005740,크라운해태홀딩스,기타 금융업
253,005750,대림B&Co,"내화, 비내화 요업제품 제조업"
254,005800,신영와코루,봉제의복 제조업
255,005810,풍산홀딩스,기타 금융업
256,005820,원림,직물직조 및 직물제품 제조업
257,005830,DB손해보험,보험업
258,005850,에스엘,자동차 신품 부품 제조업
259,005860,한일사료,동물용 사료 및 조제식품 제조업
260,005870,휴니드,통신 및 방송 장비 제조업
261,005880,대한해운,해상 운송업
262,005930,삼성전자,통신 및 방송 장비 제조업
263,005940,NH투자증권,금융 지원 서비스업
264,005950,이수화학,기초 화학물질 제조업
265,005960,동부건설,토목 건설업
266,005990,매일홀딩스,낙농제품 및 식용빙과류 제조업
267,006040,동원산업,어로 어업
268,006050,국영지앤엠,유리 및 유리제품 제조업
269,006060,화승인더,플라스틱제품 제조업
270,006090,사조오양,수산물 가공 및 저장 처리업
271,006110,삼아알미늄,1차 비철금속 제조업
272,006120,SK디스커버리,기타 금융업
273,006140,피제이전자,의료용 기기 제조업
274,006200,한국전자홀딩스,기타 금융업
275,006220,제주은행,은행 및 저축기관
276,006260,LS,기타 금융업
277,006280,녹십자,의약품 제조업
278,006340,대원전선,절연선 및 케이블 제조업
279,006360,GS건설,건물 건설업
280,006370,대구백화점,종합 소매업
281,006380,카프로,기초 화학물질 제조업
282,006390,한일현대시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
283,006400,삼성SDI,일차전지 및 축전지 제조업
284,006490,인스코비,전기 통신업
285,006570,대림통상,기타 금속 가공제품 제조업
286,006580,대양제지,"펄프, 종이 및 판지 제조업"
287,006620,동구바이오제약,의약품 제조업
288,006650,대한유화,기초 화학물질 제조업
289,006660,삼성공조,자동차 신품 부품 제조업
290,006730,서부T&D,일반 및 생활 숙박시설 운영업
291,006740,영풍제지,"골판지, 종이 상자 및 종이용기 제조업"
292,006800,미래에셋대우,금융 지원 서비스업
293,006840,AK홀딩스,기타 금융업
294,006880,신송홀딩스,산업용 농·축산물 및 동·식물 도매업
295,006890,태경케미컬,기초 화학물질 제조업
296,006910,보성파워텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
297,006920,모헨즈,"시멘트, 석회, 플라스터 및 그 제품 제조업"
298,006980,우성사료,"곡물가공품, 전분 및 전분제품 제조업"
299,007070,GS리테일,종합 소매업
300,007110,일신석재,"건축자재, 철물 및 난방장치 도매업"
301,007120,미래아이앤지,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
302,007160,사조산업,어로 어업
303,007210,벽산,기타 비금속 광물제품 제조업
304,007280,한국특수형강,1차 철강 제조업
305,007310,오뚜기,기타 식품 제조업
306,007330,푸른저축은행,은행 및 저축기관
307,007340,디티알오토모티브,일차전지 및 축전지 제조업
308,007370,진양제약,의약품 제조업
309,007390,네이처셀,기초 의약물질 및 생물학적 제제 제조업
310,007460,에이프로젠 KIC,기타 금속 가공제품 제조업
311,007530,영신금속,기타 금속 가공제품 제조업
312,007540,샘표,기타 금융업
313,007570,일양약품,의약품 제조업
314,007590,동방아그로,"비료, 농약 및 살균, 살충제 제조업"
315,007610,선도전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
316,007630,폴루스바이오팜,상품 중개업
317,007660,이수페타시스,전자부품 제조업
318,007680,대원,건물 건설업
319,007690,국도화학,기초 화학물질 제조업
320,007700,F&F,봉제의복 제조업
321,007720,대명소노시즌,상품 종합 도매업
322,007770,한일화학,기초 화학물질 제조업
323,007810,코리아써키트,전자부품 제조업
324,007820,에스엠코어,일반 목적용 기계 제조업
325,007860,서연,기타 금융업
326,007980,태평양물산,봉제의복 제조업
327,008040,사조동아원,"곡물가공품, 전분 및 전분제품 제조업"
328,008060,대덕,전자부품 제조업
329,008110,대동전자,통신 및 방송 장비 제조업
330,008250,이건산업,나무제품 제조업
331,008260,NI스틸,1차 철강 제조업
332,008290,원풍물산,봉제의복 제조업
333,008350,남선알미늄,1차 비철금속 제조업
334,008370,원풍,플라스틱제품 제조업
335,008420,문배철강,1차 철강 제조업
336,008470,부스타,"구조용 금속제품, 탱크 및 증기발생기 제조업"
337,008490,서흥,기타 화학제품 제조업
338,008500,일정실업,편조원단 제조업
339,008560,메리츠증권,금융 지원 서비스업
340,008600,윌비스,생활용품 도매업
341,008700,아남전자,영상 및 음향기기 제조업
342,008730,율촌화학,플라스틱제품 제조업
343,008770,호텔신라,기타 상품 전문 소매업
344,008800,행남사,기타 식품 제조업
345,008830,대동기어,특수 목적용 기계 제조업
346,008870,금비,유리 및 유리제품 제조업
347,008930,한미사이언스,기타 금융업
348,008970,동양철관,1차 철강 제조업
349,009070,KCTC,도로 화물 운송업
350,009140,경인전자,전자부품 제조업
351,009150,삼성전기,전자부품 제조업
352,009160,SIMPAC,특수 목적용 기계 제조업
353,009180,한솔로지스틱스,기타 운송관련 서비스업
354,009190,대양금속,1차 철강 제조업
355,009200,무림페이퍼,"펄프, 종이 및 판지 제조업"
356,009240,한샘,생활용품 도매업
357,009270,신원,봉제의복 제조업
358,009290,광동제약,의약품 제조업
359,009300,삼아제약,의약품 제조업
360,009310,참엔지니어링,특수 목적용 기계 제조업
361,009320,대우부품,자동차 신품 부품 제조업
362,009410,태영건설,토목 건설업
363,009420,한올바이오파마,의약품 제조업
364,009440,KC그린홀딩스,기타 금융업
365,009450,경동나비엔,가정용 기기 제조업
366,009460,한창제지,"펄프, 종이 및 판지 제조업"
367,009470,삼화전기,전자부품 제조업
368,009520,포스코엠텍,1차 철강 제조업
369,009540,한국조선해양,선박 및 보트 건조업
370,009580,무림P&P,"펄프, 종이 및 판지 제조업"
371,009620,삼보산업,1차 비철금속 제조업
372,009680,모토닉,자동차 신품 부품 제조업
373,009730,코센,1차 철강 제조업
374,009770,삼정펄프,"펄프, 종이 및 판지 제조업"
375,009780,엠에스씨,기타 식품 제조업
376,009810,엔케이물산,기타 전문 도매업
377,009830,한화솔루션,기초 화학물질 제조업
378,009970,영원무역홀딩스,기타 금융업
379,010040,한국내화,"내화, 비내화 요업제품 제조업"
380,010050,우리종금,기타 금융업
381,010060,OCI,기초 화학물질 제조업
382,010100,한국프랜지,자동차 신품 부품 제조업
383,010120,LS ELECTRIC,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
384,010130,고려아연,1차 비철금속 제조업
385,010140,삼성중공업,선박 및 보트 건조업
386,010170,대한광통신,절연선 및 케이블 제조업
387,010240,흥국,특수 목적용 기계 제조업
388,010280,쌍용정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
389,010400,우진아이엔에스,건물설비 설치 공사업
390,010420,한솔PNS,기타 전문 도매업
391,010470,오리콤,광고업
392,010580,지코,자동차 신품 부품 제조업
393,010600,웰바이오텍,상품 중개업
394,010620,현대미포조선,선박 및 보트 건조업
395,010640,진양폴리,플라스틱제품 제조업
396,010660,화천기계,특수 목적용 기계 제조업
397,010690,화신,자동차 신품 부품 제조업
398,010770,평화홀딩스,자동차 신품 부품 제조업
399,010780,아이에스동서,"내화, 비내화 요업제품 제조업"
400,010820,퍼스텍,무기 및 총포탄 제조업
401,010950,S-Oil,석유 정제품 제조업
402,010960,삼호개발,기반조성 및 시설물 축조관련 전문공사업
403,011000,진원생명과학,의약품 제조업
404,011040,경동제약,의약품 제조업
405,011070,LG이노텍,전자부품 제조업
406,011080,형지I&C,봉제의복 제조업
407,011090,에넥스,가구 제조업
408,011150,CJ씨푸드,기타 식품 제조업
409,011170,롯데케미칼,기초 화학물질 제조업
410,011200,HMM,해상 운송업
411,011210,현대위아,자동차 신품 부품 제조업
412,011230,삼화전자,영상 및 음향기기 제조업
413,011280,태림포장,"골판지, 종이 상자 및 종이용기 제조업"
414,011300,성안,직물직조 및 직물제품 제조업
415,011320,유니크,자동차 신품 부품 제조업
416,011330,유니켐,"가죽, 가방 및 유사제품 제조업"
417,011370,서한,건물 건설업
418,011390,부산산업,"시멘트, 석회, 플라스터 및 그 제품 제조업"
419,011420,갤럭시아에스엠,스포츠 서비스업
420,011500,한농화성,기타 화학제품 제조업
421,011560,세보엠이씨,건물설비 설치 공사업
422,011690,유양디앤유,반도체 제조업
423,011700,한신기계,일반 목적용 기계 제조업
424,011760,현대상사,상품 종합 도매업
425,011780,금호석유,기초 화학물질 제조업
426,011790,SKC,기타 화학제품 제조업
427,011810,STX,상품 종합 도매업
428,011930,신성이엔지,반도체 제조업
429,012030,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
430,012160,영흥,1차 철강 제조업
431,012170,키위미디어그룹,"영화, 비디오물, 방송프로그램 제작 및 배급업"
432,012200,계양전기,일반 목적용 기계 제조업
433,012280,영화금속,자동차 신품 부품 제조업
434,012320,경동인베스트,기타 금융업
435,012330,현대모비스,자동차 신품 부품 제조업
436,012340,뉴인텍,전자부품 제조업
437,012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업"
438,012510,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
439,012600,센트럴인사이트,일반 목적용 기계 제조업
440,012610,경인양행,기초 화학물질 제조업
441,012620,원일특강,1차 철강 제조업
442,012630,HDC,기타 금융업
443,012690,모나리자,기타 종이 및 판지 제품 제조업
444,012700,리드코프,기타 전문 도매업
445,012750,에스원,"경비, 경호 및 탐정업"
446,012790,신일제약,의약품 제조업
447,012800,대창,1차 비철금속 제조업
448,012860,모베이스전자,자동차 신품 부품 제조업
449,013000,세우글로벌,기타 전문 도매업
450,013030,하이록코리아,1차 철강 제조업
451,013120,동원개발,건물 건설업
452,013310,아진산업,자동차 신품 부품 제조업
453,013360,일성건설,토목 건설업
454,013520,화승알앤에이,자동차 신품 부품 제조업
455,013570,디와이,기타 금융업
456,013580,계룡건설,토목 건설업
457,013700,까뮤이앤씨,건물 건설업
458,013720,청보산업,자동차 신품 부품 제조업
459,013810,스페코,특수 목적용 기계 제조업
460,013870,지엠비코리아,자동차 신품 부품 제조업
461,013890,지누스,가구 제조업
462,013990,아가방컴퍼니,생활용품 도매업
463,014100,메디앙스,기타 화학제품 제조업
464,014130,한익스프레스,도로 화물 운송업
465,014160,대영포장,"골판지, 종이 상자 및 종이용기 제조업"
466,014190,원익큐브,기타 전문 도매업
467,014200,광림,자동차용 엔진 및 자동차 제조업
468,014280,금강공업,1차 철강 제조업
469,014440,영보화학,플라스틱제품 제조업
470,014470,부방,기타 금융업
471,014530,극동유화,석유 정제품 제조업
472,014570,고려제약,의약품 제조업
473,014580,태경비케이,"시멘트, 석회, 플라스터 및 그 제품 제조업"
474,014620,성광벤드,1차 철강 제조업
475,014680,한솔케미칼,기초 화학물질 제조업
476,014710,사조씨푸드,수산물 가공 및 저장 처리업
477,014790,한라,토목 건설업
478,014820,동원시스템즈,플라스틱제품 제조업
479,014830,유니드,기초 화학물질 제조업
480,014910,성문전자,전자부품 제조업
481,014940,오리엔탈정공,일반 목적용 기계 제조업
482,014970,삼륭물산,"골판지, 종이 상자 및 종이용기 제조업"
483,014990,인디에프,봉제의복 제조업
484,015020,이스타코,부동산 임대 및 공급업
485,015230,대창단조,자동차 신품 부품 제조업
486,015260,에이엔피,전자부품 제조업
487,015350,부산가스,연료용 가스 제조 및 배관공급업
488,015360,예스코홀딩스,기타 금융업
489,015540,쎌마테라퓨틱스,기타 사업지원 서비스업
490,015590,큐로,일반 목적용 기계 제조업
491,015710,코콤,통신 및 방송 장비 제조업
492,015750,성우하이텍,자동차 신품 부품 제조업
493,015760,한국전력,전기업
494,015860,일진홀딩스,기타 금융업
495,015890,태경산업,기초 화학물질 제조업
496,016090,대현,봉제의복 제조업
497,016100,리더스코스메틱,기타 화학제품 제조업
498,016250,이테크건설,건물 건설업
499,016360,삼성증권,금융 지원 서비스업
500,016380,KG동부제철,1차 철강 제조업
501,016450,한세예스24홀딩스,봉제의복 제조업
502,016580,환인제약,의약품 제조업
503,016590,신대양제지,"골판지, 종이 상자 및 종이용기 제조업"
504,016600,큐캐피탈,기타 금융업
505,016610,DB금융투자,금융 지원 서비스업
506,016670,포비스티앤씨,기타 전문 도매업
507,016710,대성홀딩스,회사 본부 및 경영 컨설팅 서비스업
508,016740,두올,자동차 신품 부품 제조업
509,016790,현대사료,동물용 사료 및 조제식품 제조업
510,016800,퍼시스,가구 제조업
511,016880,웅진,기타 금융업
512,016920,카스,기계장비 및 관련 물품 도매업
513,017000,신원종합개발,건물 건설업
514,017040,광명전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
515,017180,명문제약,의약품 제조업
516,017250,인터엠,영상 및 음향기기 제조업
517,017370,우신시스템,특수 목적용 기계 제조업
518,017390,서울가스,연료용 가스 제조 및 배관공급업
519,017480,삼현철강,1차 철강 제조업
520,017510,세명전기,기타 금속 가공제품 제조업
521,017550,수산중공업,특수 목적용 기계 제조업
522,017650,대림제지,기타 종이 및 판지 제품 제조업
523,017670,SK텔레콤,전기 통신업
524,017800,현대엘리베이,일반 목적용 기계 제조업
525,017810,풀무원,기타 식품 제조업
526,017890,한국알콜,기타 화학제품 제조업
527,017900,광전자,반도체 제조업
528,017940,E1,기타 전문 도매업
529,017960,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업"
530,018000,유니슨,일반 목적용 기계 제조업
531,018120,진로발효,알코올음료 제조업
532,018250,애경산업,기타 화학제품 제조업
533,018260,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
534,018290,브이티지엠피,컴퓨터 및 주변장치 제조업
535,018310,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업"
536,018470,조일알미늄,1차 비철금속 제조업
537,018500,동원금속,자동차 신품 부품 제조업
538,018620,우진비앤지,의약품 제조업
539,018670,SK가스,기타 전문 도매업
540,018680,서울제약,의약품 제조업
541,018700,바른손,"영화, 비디오물, 방송프로그램 제작 및 배급업"
542,018880,한온시스템,일반 목적용 기계 제조업
543,019010,베뉴지,종합 소매업
544,019170,신풍제약,의약품 제조업
545,019180,티에이치엔,기타 전기장비 제조업
546,019210,와이지-원,기타 금속 가공제품 제조업
547,019440,세아특수강,1차 철강 제조업
548,019490,하이트론,영상 및 음향기기 제조업
549,019540,일지테크,자동차 신품 부품 제조업
550,019550,SBI인베스트먼트,신탁업 및 집합투자업
551,019570,리더스 기술투자,신탁업 및 집합투자업
552,019590,엠벤처투자,신탁업 및 집합투자업
553,019660,글로본,상품 종합 도매업
554,019680,대교,초등 교육기관
555,019770,서연탑메탈,특수 목적용 기계 제조업
556,019990,에너토크,일반 목적용 기계 제조업
557,020000,한섬,봉제의복 제조업
558,020120,키다리스튜디오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
559,020150,일진머티리얼즈,전자부품 제조업
560,020180,대신정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
561,020400,대동금속,금속 주조업
562,020560,아시아나항공,항공 여객 운송업
563,020710,시공테크,전문디자인업
564,020760,일진디스플,반도체 제조업
565,021040,대호피앤씨,1차 철강 제조업
566,021050,서원,금속 주조업
567,021080,에이티넘인베스트,신탁업 및 집합투자업
568,021240,코웨이,그외 기타 개인 서비스업
569,021320,KCC건설,건물 건설업
570,021650,한국큐빅,플라스틱제품 제조업
571,021820,세원정공,자동차 신품 부품 제조업
572,021880,메이슨캐피탈,기타 금융업
573,022100,포스코 ICT,"건축기술, 엔지니어링 및 관련 기술 서비스업"
574,022220,정산애강,플라스틱제품 제조업
575,023000,삼원강재,자동차 신품 부품 제조업
576,023150,MH에탄올,알코올음료 제조업
577,023160,태광,1차 철강 제조업
578,023350,한국종합기술,"건축기술, 엔지니어링 및 관련 기술 서비스업"
579,023410,유진기업,"시멘트, 석회, 플라스터 및 그 제품 제조업"
580,023440,제일제강,1차 철강 제조업
581,023450,동남합성,기초 화학물질 제조업
582,023460,CNH,신탁업 및 집합투자업
583,023530,롯데쇼핑,종합 소매업
584,023590,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
585,023600,삼보판지,"펄프, 종이 및 판지 제조업"
