,Date,stock_name,today_big_win,today_small_win,today_lose,tomorrow_big_win,tomorrow_small_win,tomorrow_lose,day2_big_win,day2_small_win,day2_lose,real_profit,Nasdaq
0,2018-11-16,현대에이치씨엔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02534562211981567,U04
0,2018-11-16,흥구석유,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.03194888178913738,U04
0,2018-11-16,대신정보통신,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008547008547008548,U04
0,2018-11-19,뉴프렉스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.026845637583892617,T01
0,2018-11-19,남선알미늄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04075235109717868,T01
0,2018-11-19,HB테크놀러지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0036231884057971015,T01
0,2018-11-20,비나텍,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,D04
0,2018-11-21,제주항공,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08074437678638002,D04
0,2018-11-21,에스에프에이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04738154613466334,D04
0,2018-11-21,파트론,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.016908212560386472,D04
0,2018-11-21,한섬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03260869565217391,D04
0,2018-11-21,남선알미늄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.018518518518518517,D04
0,2018-11-22,THE MIDONG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,D04
0,2018-11-22,위닉스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.017123287671232876,D04
0,2018-11-23,교보증권,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.024945770065075923,U04
0,2018-11-23,인지디스플레,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0219435736677116,U04
0,2018-11-26,와이엔텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02586206896551724,D04
0,2018-11-26,부광약품,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.013293487221764221,D04
0,2018-11-26,에이디테크놀로지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008001406840763212,D04
0,2018-11-26,오공,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06564885496183206,D04
0,2018-11-26,앤씨앤,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,D04
0,2018-11-27,DB손해보험,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.024113475177304965,U04
0,2018-11-27,아난티,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04896626768226333,U04
0,2018-11-27,삼본전자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.042746113989637305,U04
0,2018-11-27,엠씨넥스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.05947955390334572,U04
0,2018-11-27,아이쓰리시스템,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.016713091922005572,U04
0,2018-11-28,이엔에프테크놀로지,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,T01
0,2018-11-28,CJ제일제당,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.01466275659824047,T01
0,2018-11-28,레고켐바이오,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.007428040854224698,T01
0,2018-11-28,동성화인텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0012376237623762376,T01
0,2018-11-28,넥슨지티,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.05370843989769821,T01
0,2018-11-29,인디에프,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06192660550458716,U04
