,date,open,high,low,close,volume,pattern1
0,2020-06-22,2010,2020,2000,2010,419412,K00
1,2020-06-23,2020,2030,2015,2030,37124,K01
2,2020-06-24,2055,2055,2020,2035,19801,M01
3,2020-06-25,2035,2035,2015,2025,32445,M01
4,2020-06-26,2025,2035,2020,2035,11823,K01
5,2020-06-29,2030,2030,2020,2025,26160,M01
6,2020-06-30,2030,2035,2025,2035,62883,K01
7,2020-07-01,2035,2040,2030,2035,8624,K00
8,2020-07-02,2035,2040,2035,2040,7347,K01
9,2020-07-03,2035,2050,2035,2040,23206,K00
10,2020-07-06,2045,2045,2035,2040,17535,M01
11,2020-07-07,2035,2040,2030,2040,17358,K01
12,2020-07-08,2040,2040,2025,2030,15787,M01
13,2020-07-09,2025,2040,2025,2030,6522,K00
14,2020-07-10,2040,2040,2030,2035,9037,M01
15,2020-07-13,2040,2040,2030,2030,8538,M00
16,2020-07-14,2030,2035,2030,2035,1250,K01
17,2020-07-15,2035,2040,2030,2040,9769,K01
18,2020-07-16,0,0,0,2040,0,P10
19,2020-07-17,0,0,0,2040,0,P10
20,2020-07-20,0,0,0,2040,0,P10
21,2020-07-21,0,0,0,2040,0,P10
22,2020-07-22,2040,2040,2035,2040,1470,K01
23,2020-07-23,2035,2040,2035,2040,4943,K01
24,2020-07-24,2040,2045,2030,2040,34594,K00
25,2020-07-27,2040,2050,2040,2050,284,K01
26,2020-07-28,2045,2050,2040,2050,1158,K01
27,2020-07-29,2045,2050,2045,2050,10171,K01
28,2020-07-30,2045,2045,2045,2045,200,K00
29,2020-07-31,2045,2050,2045,2050,7032,K01
30,2020-08-03,2045,2055,2040,2050,32508,K00
31,2020-08-04,2050,2050,2050,2050,1508,K00
32,2020-08-05,2055,2070,2050,2065,1161,K00
33,2020-08-06,2065,2070,2065,2070,367,K01
34,2020-08-07,2060,2075,2060,2060,2278,K02
35,2020-08-10,2055,2070,2050,2070,18095,P01
36,2020-08-11,2055,2070,2055,2070,5001,P00
37,2020-08-12,2070,2070,2070,2070,500,K00
38,2020-08-13,2070,2075,2070,2070,2000,K02
39,2020-08-14,2065,2070,2065,2065,1179,K02
40,2020-08-18,2065,2065,2065,2065,0,K00
41,2020-08-19,2050,2065,2045,2065,6680,P01
42,2020-08-20,2065,2065,2050,2060,5200,M02
43,2020-08-21,2065,2065,2050,2060,553,M02
44,2020-08-24,2060,2060,2050,2060,3509,K01
45,2020-08-25,2050,2055,2045,2055,6240,K01
46,2020-08-26,2055,2060,2055,2060,319,K01
47,2020-08-27,2060,2060,2060,2060,11,K00
48,2020-08-28,2060,2060,2050,2050,2117,M00
49,2020-08-31,2060,2060,2045,2055,1699,M02
50,2020-09-01,2055,2055,2055,2055,1,K00
51,2020-09-02,2045,2055,2030,2030,2045,M03
52,2020-09-03,2045,2055,2045,2055,2203,K01
53,2020-09-04,2030,2065,2030,2065,777,P00
54,2020-09-07,2065,2065,2045,2045,3650,M00
55,2020-09-08,2045,2060,2040,2045,5073,K00
56,2020-09-09,2040,2065,2040,2060,402,P03
57,2020-09-10,2065,2065,2065,2065,40,K00
58,2020-09-11,2040,2060,2040,2060,35,P00
59,2020-09-14,2045,2055,2045,2055,501,K01
60,2020-09-15,2060,2060,2055,2060,1423,K01
61,2020-09-16,2045,2060,2045,2060,601,P00
62,2020-09-17,2060,2060,2025,2040,51697,M01
63,2020-09-18,2050,2050,2050,2050,1,K00
64,2020-09-21,2050,2055,2045,2055,63773,K01
65,2020-09-22,2035,2055,2035,2055,16,P00
66,2020-09-23,2065,2065,2035,2060,359,M02
67,2020-09-24,2035,2100,2035,2095,16682,P03
68,2020-09-25,2095,2180,2045,2135,10711,P05
69,2020-09-28,2060,2085,2055,2085,8634,P01
70,2020-09-29,2080,2085,2040,2045,29254,M05
71,2020-10-05,2050,2060,2050,2055,2231,K00
72,2020-10-06,2065,2065,2060,2065,3498,K01
73,2020-10-07,2050,2080,2050,2070,15,P03
74,2020-10-08,2070,2070,2050,2070,785,K01
75,2020-10-12,2065,2065,2065,2065,1,K00
76,2020-10-13,2050,2065,2050,2065,9,P00
77,2020-10-14,2065,2100,2060,2095,1949,P05
78,2020-10-15,2100,2100,2070,2070,13014,M00
79,2020-10-16,2100,2100,2090,2090,15,M00
80,2020-10-19,2085,2085,2085,2085,2,K00
81,2020-10-20,2100,2100,2065,2095,12,M02
82,2020-10-21,2065,2100,2065,2095,451,P03
83,2020-10-22,2090,2090,2055,2090,78809,K01
84,2020-10-23,2085,2085,2085,2085,1,K00
85,2020-10-26,2085,2085,2050,2050,2006,M00
86,2020-10-27,2050,2080,2050,2080,315,P00
87,2020-10-28,2050,2080,2050,2080,49,P00
88,2020-10-29,0,0,0,2080,0,P10
89,2020-10-30,2075,2075,2075,2075,2,K00
90,2020-11-02,2075,2075,2075,2075,2,K00
91,2020-11-03,2075,2075,2075,2075,19,K00
92,2020-11-04,2060,2075,2045,2075,664,P01
93,2020-11-05,2075,2075,2075,2075,50,K00
94,2020-11-06,2075,2075,2075,2075,1,K00
