,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2012-01-02,3645,3930,3645,3845,1065861,P03,,,
1,2012-01-03,4035,4345,3880,4200,1815201,P05,P00P05,,
2,2012-01-04,4100,4240,4030,4190,810463,P05,P00P05,P10P05,U04
3,2012-01-05,4315,4320,4100,4150,490127,M05,P00M05,P10M05,T01
4,2012-01-06,4200,4200,3850,3890,576797,M01,M00M01,S03M01,U04
5,2012-01-09,3905,4175,3795,4020,690906,P05,M00P05,M10P05,U02
6,2012-01-10,3975,4150,3970,4050,390964,P05,P00P05,S01P05,U01
7,2012-01-11,4100,4100,3920,3920,257627,M00,P00M00,P10M00,U04
8,2012-01-12,4015,4050,3755,3850,271819,M05,M00M05,S07M05,U04
9,2012-01-13,3850,4140,3815,4015,348799,P05,M00P05,M10P05,U04
10,2012-01-16,4010,4095,4000,4070,279462,P05,P00P05,S02P05,U04
11,2012-01-17,4085,4115,3905,3910,286224,M05,P00M05,P10M05,D04
12,2012-01-18,3940,3940,3735,3735,249109,M00,M00M00,S07M00,U04
13,2012-01-19,3755,3840,3740,3755,166208,K02,M00K02,M10K02,U04
14,2012-01-20,3800,3815,3605,3680,203609,M05,K00M05,M10M05,U04
15,2012-01-25,3700,3740,3610,3610,216532,M03,M00M03,S07M03,U01
16,2012-01-26,3625,3705,3625,3650,130027,P04,M00P04,M10P04,U04
17,2012-01-27,3705,3785,3680,3760,212856,P05,P00P05,S01P05,D04
18,2012-01-30,3790,3790,3645,3690,118419,M01,P00M01,P10M01,U04
19,2012-01-31,3690,3720,3650,3675,117644,M05,M00M05,S07M05,T01
20,2012-02-01,3720,3720,3620,3640,132419,M01,M00M01,M10M01,U01
21,2012-02-02,3685,3815,3560,3815,353841,P01,M00P01,M10P01,U04
22,2012-02-03,3815,3815,3700,3700,182338,M00,P00M00,S01M00,U04
23,2012-02-06,3700,3715,3580,3595,189867,M05,M00M05,S03M05,U04
24,2012-02-07,3600,3600,3490,3500,234713,M01,M00M01,M10M01,T01
25,2012-02-08,3510,3610,3460,3460,193478,M04,M00M04,M10M04,U01
26,2012-02-09,3500,3555,3470,3530,151286,P05,M00P05,M10P05,U04
27,2012-02-10,3540,3615,3465,3605,134964,P05,P00P05,S01P05,U04
28,2012-02-13,3605,3635,3540,3620,128900,K01,P00K01,P10K01,D04
29,2012-02-14,3615,3970,3615,3865,1135189,P03,K00P03,P10P03,U04
30,2012-02-15,4430,4440,4300,4440,1457771,K01,P00K01,P10K01,T01
31,2012-02-16,4420,4440,4135,4145,2400786,M05,K00M05,P10M05,D04
32,2012-02-17,4200,4270,4085,4135,810407,M05,M00M05,S07M05,U04
33,2012-02-20,4135,4200,4030,4100,572027,M05,M00M05,M10M05,U04
34,2012-02-21,4165,4355,4020,4070,1259398,M05,M00M05,M10M05,T01
35,2012-02-22,4070,4120,3990,4005,551005,M05,M00M05,M10M05,T01
36,2012-02-23,4005,4165,4005,4100,634228,P03,M00P03,M10P03,D04
37,2012-02-24,4110,4140,4010,4070,456852,M05,P00M05,S02M05,U04
38,2012-02-27,4100,4100,3930,3950,380381,M01,M00M01,S03M01,U03
39,2012-02-28,3975,4085,3925,4040,416675,P05,M00P05,M10P05,U01
