,date,open,high,low,close,volume,pattern1,new_pat1
0,2018-10-15,33000,41000,33000,33750,4132966,P04,
1,2018-10-16,32800,32850,27600,28950,981428,M15,M11
2,2018-10-17,29200,30250,25150,28600,785516,M05,M05
3,2018-10-18,28250,28750,27000,27300,296238,M05,M00
4,2018-10-19,26500,29100,26050,27450,634859,P05,P04
5,2018-10-22,28750,30200,27450,27450,616798,M03,M04
6,2018-10-23,27600,27600,25200,25300,221557,M01,M00
7,2018-10-24,25650,25900,23100,23750,273033,M05,M01
8,2018-10-25,23050,24850,22700,23800,215560,P05,P03
9,2018-10-26,24200,24350,20450,22500,366092,M05,M02
10,2018-10-29,22500,23100,20650,21500,143956,M05,M05
11,2018-10-30,20750,21850,20250,21000,117682,P05,P05
12,2018-10-31,21400,24050,20900,23350,357663,P05,P05
13,2018-11-01,24000,24250,22400,22450,129073,M05,M00
14,2018-11-02,22850,24600,22650,23850,188037,P05,P03
15,2018-11-05,23800,23900,23000,23350,46909,M05,M00
16,2018-11-06,23900,24900,23650,24700,138195,P05,P00
17,2018-11-07,24750,26350,24350,26250,159302,P05,P00
18,2018-11-08,26500,27350,25900,25950,104552,M05,M03
19,2018-11-09,25600,27200,25400,26700,124730,P05,P00
20,2018-11-12,26150,26450,23500,24000,159993,M05,M00
21,2018-11-13,23300,24400,22150,24100,95064,P05,P01
22,2018-11-14,23950,25200,23500,24000,57636,K00,K02
23,2018-11-15,22700,23850,22150,23700,246972,P05,P01
24,2018-11-16,23400,24050,23150,23200,60647,M05,M03
25,2018-11-19,23450,23650,22800,23050,54448,M05,M00
26,2018-11-20,22700,23100,21450,21450,71524,M03,M00
27,2018-11-21,21100,25900,20700,22000,482916,P05,P04
28,2018-11-22,21750,21950,21000,21000,112955,M03,M00
29,2018-11-23,21000,21500,20500,20850,55187,M05,M03
30,2018-11-26,20650,21150,20500,20800,46358,P05,P00
31,2018-11-27,21250,22450,20850,21800,129986,P05,P03
32,2018-11-28,21750,22200,21200,21200,62045,M03,M03
33,2018-11-29,21550,21850,20800,20800,47573,M03,M00
34,2018-11-30,20950,21100,20750,20900,21549,M05,M00
35,2018-12-03,21250,21650,21100,21550,28716,P05,P00
36,2018-12-04,21350,22100,21200,21550,36568,P05,P03
37,2018-12-05,21000,21450,20750,20800,50512,M05,M03
38,2018-12-06,20700,21100,19400,19400,52981,M03,M00
39,2018-12-07,19700,20050,19250,19500,30077,M05,M00
40,2018-12-10,19400,21400,19350,20250,127078,P05,P04
41,2018-12-11,20000,21300,19150,20600,110018,P05,P05
42,2018-12-12,21150,24000,21150,22000,498131,P04,P04
43,2018-12-13,21700,21950,21000,21000,89916,M03,M00
44,2018-12-14,20700,20850,19800,19900,99113,M05,M00
45,2018-12-17,19800,21300,19500,21150,112899,P05,P00
46,2018-12-18,22450,27450,22450,27450,1761575,P10,P10
47,2018-12-19,31200,34150,28200,30150,1878844,M05,M05
48,2018-12-20,30100,32200,29550,31650,609853,P05,P00
49,2018-12-21,31100,32050,30150,32000,308879,P05,P01
50,2018-12-24,31200,32300,27500,27600,409797,M15,M13
51,2018-12-26,27100,29450,26700,28400,374005,P05,P03
52,2018-12-27,29000,29250,27500,28700,200242,M05,M01
53,2018-12-28,28600,31000,28450,30700,343242,P05,P00
54,2019-01-02,31450,32400,29900,30700,454452,M05,M05
55,2019-01-03,31200,34600,31000,32100,765108,P05,P04
56,2019-01-04,32500,33850,31000,33700,302062,P05,P01
57,2019-01-07,34400,35500,32800,33550,496543,M05,M05
58,2019-01-08,33250,33450,31300,32100,340013,M05,M01
59,2019-01-09,32100,32600,31200,31200,165719,M03,M00
60,2019-01-10,31300,32350,30000,30000,265673,M03,M03
61,2019-01-11,31000,31300,29750,30100,146675,M05,M00
62,2019-01-14,30050,32800,29750,32150,276249,P05,P03
63,2019-01-15,30650,31350,30450,30850,430657,P05,P00
64,2019-01-16,31000,32500,30800,31900,379395,P05,P00
65,2019-01-17,32300,39250,30900,39250,1773782,P11,P11
66,2019-01-18,38800,43500,36850,39250,1481797,P05,P05
67,2019-01-21,40000,43950,38600,40600,791461,P05,P05
68,2019-01-22,39750,40000,36400,36550,512908,M05,M00
69,2019-01-23,36300,37500,35550,36600,276215,P05,P05
70,2019-01-24,36600,37650,35750,36550,224237,M05,M05
71,2019-01-25,36050,38750,35800,36700,501114,P05,P04
72,2019-01-28,37550,37700,36300,36300,154646,M03,M00
73,2019-01-29,36550,38850,36250,37100,477666,P05,P03
74,2019-01-30,37450,37450,35100,35300,215388,M01,M00
75,2019-01-31,35500,35850,32850,32850,243883,M03,M00
76,2019-02-01,32850,33550,31450,33300,298356,P05,P01
77,2019-02-07,33200,33650,32200,32250,168203,M05,M00
78,2019-02-08,32550,33150,32150,32200,133969,M05,M00
79,2019-02-11,32200,32350,30250,30350,335583,M05,M00
80,2019-02-12,31050,31100,29800,29950,197654,M05,M00
81,2019-02-13,30150,30650,29500,29850,119496,M05,M00
82,2019-02-14,30000,30350,28850,29050,141527,M05,M00
83,2019-02-15,28900,29400,28350,29150,121571,P05,P00
84,2019-02-18,29400,30450,29350,30150,124438,P05,P00
85,2019-02-19,30200,31200,29550,30000,197759,M05,M03
86,2019-02-20,29950,30350,29650,29700,70297,M05,M00
87,2019-02-21,29800,30150,29300,29400,68656,M05,M00
88,2019-02-22,29300,29750,28200,28200,89969,M03,M00
89,2019-02-25,28200,29900,28100,29550,114317,P05,P00
90,2019-02-26,29700,30300,29000,29800,79903,K00,K00
91,2019-02-27,29800,30550,29500,30100,78906,P05,P00
92,2019-02-28,30200,30500,27250,28050,98137,M05,M01
93,2019-03-04,28500,29300,28300,28700,66035,P05,P03
94,2019-03-05,28300,29900,28300,29900,59013,P00,P00
95,2019-03-06,30150,31350,30050,31100,165748,P05,P00
96,2019-03-07,31400,31550,30100,30200,87239,M05,M00
97,2019-03-08,29850,30600,29000,29000,86860,M03,M03
98,2019-03-11,29600,29600,27500,28050,76475,M01,M00
99,2019-03-12,28650,28800,28000,28200,55159,M05,M00
100,2019-03-13,28550,29500,28300,28500,141026,M05,M03
101,2019-03-14,28900,29150,28600,28650,41477,M05,M00
102,2019-03-15,28650,28750,26800,26900,123044,M05,M00
103,2019-03-18,27000,27600,26550,26550,87830,M03,M03
104,2019-03-19,26700,27300,26550,26800,57723,K00,K02
105,2019-03-20,27500,28300,27300,27750,146344,P05,P03
106,2019-03-21,28200,29150,27250,27250,133825,M03,M03
107,2019-03-22,27300,28000,26300,26400,82646,M05,M03
108,2019-03-25,26050,27250,25150,25250,101670,M05,M03
109,2019-03-26,26050,26350,25450,26050,50558,K00,K01
110,2019-03-27,26200,26250,25150,25150,52583,M03,M00
111,2019-03-28,25000,26050,24800,25200,65262,P05,P03
112,2019-03-29,25050,25450,23200,24350,88940,M05,M01
113,2019-04-01,24300,25200,23950,25100,46210,P05,P00
114,2019-04-02,25450,25450,24800,25050,22647,M01,M00
115,2019-04-03,25050,26100,24900,25500,41921,P05,P03
116,2019-04-04,25600,25850,25100,25400,34773,M05,M00
117,2019-04-05,25400,25750,25300,25500,30117,K00,K02
118,2019-04-08,25300,25700,24650,24950,49350,M05,M00
119,2019-04-09,24700,25050,24500,24650,36535,M05,M00
120,2019-04-10,24650,25150,24350,25050,29092,P05,P00
121,2019-04-11,25000,26000,25000,25700,70131,P03,P00
122,2019-04-12,26300,26900,25950,26500,114704,P05,P00
123,2019-04-15,26450,26600,25200,25200,125520,M03,M00
124,2019-04-16,25100,25200,24000,24250,128622,M05,M00
125,2019-04-17,24150,24650,23850,24250,45269,K00,K00
126,2019-04-18,24250,24650,23850,24000,48141,M05,M00
127,2019-04-19,24200,24900,23950,24550,60414,P05,P00
128,2019-04-22,25100,27400,25100,25700,325541,P04,P04
129,2019-04-23,25850,26000,25200,25700,65354,M05,M00
130,2019-04-24,25700,26050,25150,25150,63087,M03,M00
131,2019-04-25,24950,25150,24200,24250,77245,M05,M00
132,2019-04-26,24150,24250,23000,23000,116878,M03,M00
133,2019-04-29,23300,24650,23300,23700,170591,P04,P03
134,2019-04-30,23550,23850,23250,23500,34743,M05,M00
135,2019-05-02,23250,23850,23150,23600,39733,P05,P00
136,2019-05-03,23500,23800,23200,23700,39327,P05,P00
137,2019-05-07,23300,23350,22650,22750,61064,M05,M00
138,2019-05-08,22200,23250,22200,22600,35533,P03,P03
139,2019-05-09,22500,22550,20850,20900,104185,M05,M00
140,2019-05-10,20600,21900,20400,21400,75121,P05,P03
141,2019-05-13,21050,21600,20800,20800,33897,M04,M03
142,2019-05-14,20150,21600,20100,20750,48700,P05,P03
143,2019-05-15,20750,21650,20750,21200,36639,P03,P03
144,2019-05-16,21700,21700,20650,20750,28291,M01,M00
145,2019-05-17,20850,21250,20250,20450,28336,M05,M00
146,2019-05-20,20200,20500,20000,20000,34113,M03,M00
147,2019-05-21,19850,20300,19800,20100,34878,P05,P00
148,2019-05-22,20150,20900,20000,20700,24306,P05,P00
149,2019-05-23,20800,20950,19800,19850,53381,M05,M00
150,2019-05-24,18950,19150,18450,18600,131436,M05,M00
151,2019-05-27,18600,19000,17800,18700,55560,P05,P01
152,2019-05-28,18600,19950,18600,19800,85867,P03,P00
153,2019-05-29,19550,20300,18850,19950,56678,P05,P01
154,2019-05-30,19750,20550,19650,19900,35274,P05,P03
155,2019-05-31,19900,20300,19900,20000,22266,P04,P00
156,2019-06-03,19800,20000,19500,19600,20156,M05,M00
157,2019-06-04,19550,19800,19400,19800,24376,P01,P00
158,2019-06-05,20150,20500,19850,19900,52764,M05,M00
159,2019-06-07,20450,20700,20200,20600,49902,P05,P00
160,2019-06-10,20800,20850,20550,20600,27840,M05,M00
161,2019-06-11,20500,21650,20500,21250,59141,P03,P00
162,2019-06-12,21550,22000,20850,20950,102821,M05,M03
163,2019-06-13,20700,21600,20300,21550,53776,P05,P00
164,2019-06-14,21700,21700,20600,20700,55938,M01,M00
165,2019-06-17,21300,23850,20900,22900,426428,P05,P03
166,2019-06-18,22750,23950,22250,22600,237310,M05,M04
167,2019-06-19,22900,23400,22000,22400,85546,M05,M03
168,2019-06-20,22150,23350,22050,23150,88311,P05,P00
169,2019-06-21,23250,23450,22500,23250,72380,K01,K01
170,2019-06-24,23200,23600,22950,23150,45339,M05,M00
171,2019-06-25,23500,24250,22950,24000,394342,P05,P01
172,2019-06-26,24100,24250,22750,22800,175922,M05,M00
173,2019-06-27,22800,23650,21900,21950,178858,M05,M03
174,2019-06-28,22250,22500,20550,20950,111824,M05,M00
175,2019-07-01,21000,21250,20350,20450,59677,M05,M00
176,2019-07-02,21200,21500,20750,21050,81826,M05,M00
177,2019-07-03,21000,21050,20500,20550,37028,M05,M00
178,2019-07-04,20700,20950,20450,20850,34820,P05,P00
179,2019-07-05,21100,21350,20850,21350,28954,P01,P00
180,2019-07-08,21500,21500,19800,19800,64137,M00,M00
181,2019-07-09,19400,19950,18900,18900,59978,M03,M03
182,2019-07-10,18900,19800,18900,19650,36595,P03,P00
183,2019-07-11,19950,20550,19750,20400,31266,P05,P00
184,2019-07-12,20500,20750,20150,20600,24116,K00,K01
185,2019-07-15,20350,20600,19900,19900,20524,M03,M00
186,2019-07-16,20400,20450,19650,20000,46689,M05,M00
187,2019-07-17,20000,20000,18400,19250,95634,M01,M01
188,2019-07-18,19100,21200,18750,20300,175967,P05,P03
189,2019-07-19,20200,20450,19550,19550,64798,M03,M00
190,2019-07-22,19350,20200,19350,20150,32450,P03,P00
