,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2012-01-02,18700,19100,18600,18600,33060,M04,,,
1,2012-01-03,18900,18900,18300,18850,33632,M02,M00M02,,
2,2012-01-04,18850,18900,18450,18500,20917,M05,M00M05,M10M05,U04
3,2012-01-05,18750,19000,18300,18400,27701,M05,M00M05,M10M05,T01
4,2012-01-06,18350,18650,18050,18400,17614,K00,M00K00,M10K00,U04
5,2012-01-09,18200,19100,18200,18950,29381,P03,K00P03,S08P03,U02
6,2012-01-10,19200,19200,18750,18750,11785,M00,P00M00,P10M00,U01
7,2012-01-11,18800,19050,18250,18700,37335,M05,M00M05,S03M05,U04
8,2012-01-12,18850,18850,18450,18800,10185,M02,M00M02,M10M02,U04
9,2012-01-13,18600,19000,18250,18600,44058,K00,M00K00,S04K00,U04
10,2012-01-16,18300,18700,18000,18600,20770,P05,K00P05,M10P05,U04
11,2012-01-17,18350,18600,17650,17900,40929,M05,P00M05,P10M05,D04
12,2012-01-18,17900,18000,17500,17700,55250,M05,M00M05,S07M05,U04
13,2012-01-19,17700,18050,17500,17500,37123,M03,M00M03,M10M03,U04
14,2012-01-20,17700,17850,17350,17450,41497,M05,M00M05,M10M05,U04
15,2012-01-25,17400,17700,16900,16900,75169,M03,M00M03,M10M03,U01
16,2012-01-26,16900,17750,16900,17650,54660,P03,M00P03,M10P03,U04
17,2012-01-27,17850,17850,17450,17800,9080,M02,P00M02,S02M02,D04
18,2012-01-30,17800,18150,17400,17950,55251,P05,M00P05,S05P05,U04
19,2012-01-31,18150,18150,17500,17700,25416,M01,P00M01,S04M01,T01
20,2012-02-01,17600,18950,17600,17700,98694,P04,M00P04,S07P04,U01
21,2012-02-02,18000,18350,18000,18300,28783,P03,P00P03,S08P03,U04
22,2012-02-03,18050,18500,17550,18000,31041,M05,P00M05,P10M05,U04
23,2012-02-06,18150,18250,17800,18200,29920,K01,M00K01,S07K01,U04
24,2012-02-07,18000,18250,17600,18200,44370,P05,K00P05,S01P05,T01
25,2012-02-08,18200,18350,18000,18300,21492,P05,P00P05,P10P05,U01
26,2012-02-09,18050,18600,17900,18500,42076,P05,P00P05,P10P05,U04
27,2012-02-10,18500,18900,18250,18900,29760,P01,P00P01,P10P01,U04
28,2012-02-13,18550,19000,18550,18850,22355,P03,P00P03,P10P03,D04
29,2012-02-14,18900,18950,18400,18900,47922,K01,P00K01,P10K01,U04
30,2012-02-15,18700,19000,18600,18900,17090,P05,K00P05,P10P05,T01
31,2012-02-16,18850,19000,18550,18750,27571,M05,P00M05,P10M05,D04
32,2012-02-17,18950,19050,18450,18650,20267,M05,M00M05,S06M05,U04
33,2012-02-20,18500,18600,18200,18300,20382,M05,M00M05,M10M05,U04
34,2012-02-21,18150,18450,17850,18450,29760,P01,M00P01,M10P01,T01
35,2012-02-22,18350,18700,18250,18600,14551,P05,P00P05,S00P05,T01
36,2012-02-23,18500,18800,18400,18700,10580,P05,P00P05,P10P05,D04
37,2012-02-24,18800,18800,18500,18600,21513,M01,P00M01,P10M01,U04
38,2012-02-27,18450,18600,18200,18500,29585,K00,M00K00,S03K00,U03
39,2012-02-28,18500,18500,18050,18150,39421,M01,K00M01,S08M01,U01
40,2012-02-29,18450,19000,18400,18950,34147,P05,M00P05,S07P05,U04
41,2012-03-02,18900,19000,18750,18950,16070,K01,P00K01,S01K01,U04
42,2012-03-05,18700,19250,18700,18950,37766,P03,K00P03,P10P03,D04
43,2012-03-06,18950,19200,18750,19000,32677,K00,P00K00,P10K00,D04
44,2012-03-07,19000,19050,18500,18900,40700,M05,K00M05,P10M05,D04
45,2012-03-08,19100,19100,18650,18900,25088,M01,M00M01,S04M01,U04
46,2012-03-09,18800,19350,18750,19150,26735,P05,M00P05,M10P05,U04
47,2012-03-12,19100,19250,18900,19200,23500,P05,P00P05,S02P05,U04
48,2012-03-13,19300,19300,18850,19050,36080,M01,P00M01,P10M01,T01
49,2012-03-14,19250,19250,18450,19150,49770,M02,M00M02,S07M02,U04
50,2012-03-15,18900,19300,18650,19100,36842,P05,M00P05,M10P05,T01
51,2012-03-16,19100,19200,18750,19150,17920,K01,P00K01,S08K01,U04
52,2012-03-19,19150,19300,18950,19000,25633,M05,K00M05,P10M05,T01
53,2012-03-20,18850,19100,18650,19100,28502,P01,M00P01,S04P01,U04
54,2012-03-21,18750,19150,18650,19100,28650,P05,P00P05,S00P05,T01
55,2012-03-22,18750,18950,18450,18450,28922,M03,P00M03,P10M03,U01
56,2012-03-23,18450,18450,17900,18200,29690,M01,M00M01,S07M01,D04
57,2012-03-26,18250,18300,17650,17800,26280,M05,M00M05,M10M05,U02
58,2012-03-27,18050,18250,17750,17750,23626,M03,M00M03,M10M03,U04
59,2012-03-28,17750,18150,17750,18150,18450,P00,M00P00,M10P00,T01
60,2012-03-29,17900,18300,17450,18300,41650,P01,P00P01,S02P01,D04
61,2012-03-30,18300,18450,18000,18200,24680,M05,P00M05,P10M05,D04
62,2012-04-02,18100,18250,18000,18200,15622,P05,M00P05,S03P05,T01
63,2012-04-03,18050,18300,17750,17950,28490,M05,P00M05,S08M05,U04
64,2012-04-04,17800,18150,17650,18100,35073,P05,M00P05,S07P05,T01
65,2012-04-05,18100,18100,17600,18050,28086,M02,P00M02,S02M02,D04
66,2012-04-06,17800,18000,17550,17550,14778,M03,M00M03,S03M03,D04
67,2012-04-09,17600,17600,17350,17450,12398,M01,M00M01,M10M01,U04
68,2012-04-10,17250,18150,17250,18150,14084,P00,M00P00,M10P00,D04
69,2012-04-12,18150,18200,17800,18150,9270,K01,P00K01,S02K01,U04
70,2012-04-13,18150,18300,17950,18050,28510,M05,K00M05,P10M05,U04
71,2012-04-16,17750,18100,17700,18050,15300,P05,M00P05,S04P05,D04
72,2012-04-17,18150,18300,17900,18000,19390,M05,P00M05,S08M05,D04
73,2012-04-18,18150,18250,17750,18200,13880,K01,M00K01,S03K01,U04
74,2012-04-19,17850,18200,17850,17900,10340,K02,K00K02,S01K02,D04
75,2012-04-20,17950,18100,17800,18000,12990,K00,K00K00,P10K00,D04
76,2012-04-23,18050,18200,17900,18150,2230,P05,K00P05,S04P05,T01
77,2012-04-24,18150,18150,17700,17750,13830,M01,P00M01,P10M01,D04
78,2012-04-25,17750,17900,17650,17750,4850,K00,M00K00,S07K00,D04
79,2012-04-26,18000,18300,17600,17700,13451,M05,K00M05,M10M05,U04
80,2012-04-27,17800,17800,17100,17700,20934,M02,M00M02,S07M02,U04
81,2012-04-30,18050,18050,17150,17700,24780,M01,M00M01,M10M01,U04
82,2012-05-02,17450,17750,17450,17600,17520,P03,M00P03,M10P03,U02
83,2012-05-03,17350,17600,17300,17400,23931,K00,P00K00,S08K00,U04
84,2012-05-04,17400,17450,17100,17300,14863,M05,K00M05,P10M05,D04
85,2012-05-07,17700,17900,17300,17800,8660,P05,M00P05,S04P05,D04
86,2012-05-08,17900,18150,17600,18000,16467,P05,P00P05,S01P05,U01
87,2012-05-09,18100,18100,17500,17900,16342,M02,P00M02,P10M02,D04
88,2012-05-10,18100,18100,17650,18050,8914,M02,M00M02,S07M02,D04
89,2012-05-11,18200,18200,17300,17300,33015,M00,M00M00,M10M00,T01
90,2012-05-14,17500,17600,17150,17600,11543,P02,M00P02,M10P02,T01
91,2012-05-15,17250,17400,16900,17000,22208,M05,P00M05,S01M05,D04
92,2012-05-16,17100,17450,17000,17000,27181,M04,M00M04,S07M04,D04
93,2012-05-17,17250,17400,16800,16950,20318,M05,M00M05,M10M05,D04
94,2012-05-18,16700,16950,15900,16750,39830,K01,M00K01,M10K01,D04
95,2012-05-21,16750,16750,16050,16350,61583,M01,K00M01,S08M01,D04
96,2012-05-22,16450,16700,16300,16400,22666,M05,M00M05,S07M05,U04
97,2012-05-23,16350,16350,16050,16300,6529,M02,M00M02,M10M02,D04
98,2012-05-24,16500,16550,16100,16150,38010,M05,M00M05,S04M05,U04
99,2012-05-25,16150,16350,16000,16300,11010,P05,M00P05,M10P05,D04
100,2012-05-29,16150,16650,16150,16350,10673,P03,P00P03,S00P03,T01
101,2012-05-30,16400,16400,16000,16150,11571,M01,P00M01,P10M01,U04
102,2012-05-31,15900,16150,15650,16150,9934,P01,M00P01,S07P01,D04
103,2012-06-01,16100,16150,15900,16100,5260,K01,P00K01,S08K01,D04
104,2012-06-04,15750,16150,15400,16050,31250,P05,K00P05,P10P05,D04
105,2012-06-05,16350,16650,15850,16650,15510,P01,P00P01,P10P01,U04
106,2012-06-07,16600,16800,16450,16450,39311,M03,P00M03,P10M03,U04
107,2012-06-08,16700,16850,16150,16550,28180,M05,M00M05,S06M05,D04
108,2012-06-11,16600,17100,16450,17100,11726,P01,M00P01,M10P01,U04
109,2012-06-12,16750,17150,16650,17100,13375,P05,P00P05,S01P05,D04
110,2012-06-13,16950,17100,16700,16950,12000,K00,P00K00,P10K00,U04
111,2012-06-14,16700,16950,16650,16750,8600,K00,K00K00,P10K00,D04
112,2012-06-15,16700,16800,16450,16750,11752,K01,K00K01,P10K01,U04
113,2012-06-18,16800,16800,16400,16700,48984,M02,K00M02,S04M02,U04
114,2012-06-19,16700,16750,16500,16550,16941,M05,M00M05,S04M05,U04
115,2012-06-20,16700,16800,16500,16550,14833,M05,M00M05,M10M05,U04
116,2012-06-21,16550,16700,16400,16500,17970,M05,M00M05,S04M05,T01
117,2012-06-22,16350,16400,16000,16400,17470,K01,M00K01,M10K01,D04
118,2012-06-25,16500,16950,16200,16750,14471,P05,K00P05,S08P05,U04
