,date,open,high,low,close,volume,pattern1
0,2012-01-02,11748,12392,11248,11490,22943,M05
1,2012-01-03,11506,11716,10684,10959,10193,M05
2,2012-01-04,10829,10861,10571,10572,9896,M05
3,2012-01-05,10475,10620,10201,10540,14469,P05
4,2012-01-06,10442,11055,10394,10942,7704,P05
5,2012-01-09,10942,11280,10668,11104,5471,P05
6,2012-01-10,11103,11232,10894,11233,3564,P01
7,2012-01-11,11345,11345,10974,11216,3541,M01
8,2012-01-12,10990,11377,10845,11362,4472,P05
9,2012-01-13,11361,11393,11022,11362,3515,K01
10,2012-01-16,11280,11635,11152,11442,5493,P05
11,2012-01-17,11619,11619,11442,11474,3940,M01
12,2012-01-18,11409,11635,11377,11378,3104,M05
13,2012-01-19,11393,11764,11393,11668,6371,P03
14,2012-01-20,11538,11828,11538,11700,6180,P03
15,2012-01-25,11603,11957,11570,11926,5210,P05
16,2012-01-26,11925,13472,11925,12248,16854,P04
17,2012-01-27,12247,12860,12070,12377,9969,P05
18,2012-01-30,12167,12714,12102,12683,5350,P05
19,2012-01-31,12811,13182,12682,12828,8174,K00
20,2012-02-01,12844,13101,12844,13021,6610,P03
21,2012-02-02,13085,13182,12489,12925,11300,M05
22,2012-02-03,13005,13311,12602,13167,10725,P05
23,2012-02-06,13182,14246,13037,13489,12214,P05
24,2012-02-07,13682,13795,13375,13795,5730,P02
25,2012-02-08,13665,14342,13601,14262,15357,P05
26,2012-02-09,14052,14278,13875,13940,8962,M05
27,2012-02-10,13730,14052,13327,13859,4845,P05
28,2012-02-13,13859,14020,12940,13344,8022,M05
29,2012-02-14,13504,13504,12747,12925,12536,M01
30,2012-02-15,12860,13214,12698,13151,7438,P05
31,2012-02-16,13214,13214,12956,13021,4299,M01
32,2012-02-17,13005,13182,12876,13086,7458,P05
33,2012-02-20,13085,13408,13053,13183,8419,P05
34,2012-02-21,13214,13472,12892,13473,4364,P01
35,2012-02-22,13408,13601,13279,13537,4075,P05
36,2012-02-23,13665,14004,13472,13859,2464,P05
37,2012-02-24,13891,14052,13746,14005,2868,P05
38,2012-02-27,14052,14503,13875,14133,3727,P05
39,2012-02-28,13891,14342,13891,13956,2394,K02
40,2012-02-29,13891,14085,13698,14085,1882,P01
41,2012-03-02,14310,14665,13665,14504,3849,P05
42,2012-03-05,14503,14697,14407,14649,2606,P05
43,2012-03-06,14649,14713,14262,14617,1088,M05
44,2012-03-07,13327,14633,13327,14311,1368,P03
45,2012-03-08,14359,14503,14069,14279,312,M05
46,2012-03-09,14246,14278,13875,13876,3135,M05
47,2012-03-12,13923,14729,13923,14182,4042,P04
48,2012-03-13,14342,14987,14342,14955,6196,P03
49,2012-03-14,14955,15422,14697,15149,4247,P05
50,2012-03-15,14987,15277,14955,15262,660,P05
51,2012-03-16,15148,17114,15148,16406,16615,P03
52,2012-03-19,16695,17759,16180,17727,11984,P05
53,2012-03-20,17823,18210,17243,17534,4540,M05
54,2012-03-21,17662,17662,16921,17566,3289,M02
55,2012-03-22,17276,18532,17179,18307,17322,P05
56,2012-03-23,18307,18307,16099,16180,20252,M11
57,2012-03-26,16244,16889,15487,16019,5489,M05
58,2012-03-27,15793,16438,15664,16084,2938,P05
59,2012-03-28,15889,16180,15889,15955,4381,K02
60,2012-03-29,15825,16051,15712,15794,4750,M05
61,2012-03-30,15648,15922,15648,15761,6496,P03
62,2012-04-02,15761,15793,15341,15520,3777,M05
63,2012-04-03,15535,15793,15535,15777,9256,P03
64,2012-04-04,15777,15793,15245,15616,1103,M05
65,2012-04-05,15309,15793,15309,15568,413,P03
