,date,open,high,low,close,volume,pattern1
0,2019-08-22,9530,10650,8330,8370,7993833,M15
1,2019-08-23,8630,9800,8420,8670,6769981,K02
2,2019-08-26,8450,8840,7810,7820,948257,M05
3,2019-08-27,7940,8100,7150,7240,847391,M05
4,2019-08-28,7260,7430,6920,7180,656979,M05
5,2019-08-29,7380,7560,7120,7230,655361,M05
6,2019-08-30,7240,7410,7150,7320,461101,P05
7,2019-09-02,7160,7220,7030,7080,275469,M05
8,2019-09-03,7080,7470,7010,7270,536624,P05
9,2019-09-04,7290,7770,7290,7350,879910,P04
10,2019-09-05,7440,7510,7250,7250,290422,M03
11,2019-09-06,7260,7330,7040,7050,182105,M05
12,2019-09-09,7050,7160,7020,7070,122727,K00
13,2019-09-10,7140,7920,7140,7420,1669970,P03
14,2019-09-11,7450,7750,7380,7500,367242,P05
15,2019-09-16,7590,7760,7470,7470,312802,M03
16,2019-09-17,7460,8100,7410,7830,1156940,P05
17,2019-09-18,7810,7950,7630,7640,283299,M05
18,2019-09-19,7710,7730,7490,7490,150523,M03
19,2019-09-20,7490,7690,7420,7510,196198,K00
20,2019-09-23,7620,7620,7450,7450,82782,M00
21,2019-09-24,7530,7660,7300,7430,106999,M05
22,2019-09-25,7420,7440,7070,7070,162620,M03
23,2019-09-26,7150,7190,6780,6900,132499,M05
24,2019-09-27,6960,7020,6710,6720,127028,M05
25,2019-09-30,6760,7350,6710,6930,320644,P05
26,2019-10-01,7080,7080,6760,6790,95338,M01
27,2019-10-02,6800,7030,6720,6790,93573,M05
28,2019-10-04,6760,6860,6650,6650,78470,M03
29,2019-10-07,6660,6770,6460,6500,75971,M05
30,2019-10-08,6500,6610,6450,6560,45484,P05
31,2019-10-10,6520,7170,6520,6740,164507,P03
32,2019-10-11,6790,6920,6660,6690,70623,M05
33,2019-10-14,6610,7050,6600,6950,129557,P05
34,2019-10-15,6950,7230,6470,6820,183918,M05
35,2019-10-16,6860,6900,6700,6780,47664,M05
36,2019-10-17,6740,6890,6690,6770,28389,K00
37,2019-10-18,6760,6890,6720,6720,55697,M04
38,2019-10-21,6720,7000,6700,7000,141801,P01
39,2019-10-22,7290,7620,6880,6880,505832,M03
