,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2012-01-02,4726,4733,4599,4607,34638,M05,,,
1,2012-01-03,4673,4720,4580,4660,52441,M05,M00M05,,
2,2012-01-04,4726,4873,4660,4813,57463,P05,M00P05,M10P05,U04
3,2012-01-05,4933,5326,4866,5127,147885,P05,P00P05,S01P05,T01
4,2012-01-06,5213,5233,4686,4880,78060,M05,P00M05,P10M05,U04
5,2012-01-09,4946,4946,4786,4947,32084,K01,M00K01,S07K01,U02
6,2012-01-10,5146,5206,5020,5187,58322,P05,K00P05,S01P05,U01
7,2012-01-11,5200,5200,5013,5120,47814,M01,P00M01,P10M01,U04
8,2012-01-12,5133,5133,4980,5060,61403,M01,M00M01,S07M01,U04
9,2012-01-13,5173,5420,5120,5260,104519,P05,M00P05,M10P05,U04
10,2012-01-16,5260,5300,5046,5160,59496,M05,P00M05,S01M05,U04
11,2012-01-17,5160,5260,5026,5067,46945,M05,M00M05,S07M05,D04
12,2012-01-18,5066,5093,4986,5047,40922,M05,M00M05,M10M05,U04
13,2012-01-19,5033,5160,5020,5080,36793,P05,M00P05,M10P05,U04
14,2012-01-20,5026,5100,4980,5067,28207,P05,P00P05,S04P05,U04
15,2012-01-25,5006,5153,5006,5067,23172,P03,P00P03,P10P03,U01
16,2012-01-26,5100,5133,5000,5113,24484,K01,P00K01,P10K01,U04
17,2012-01-27,5073,5106,4946,4960,68480,M05,K00M05,P10M05,D04
18,2012-01-30,4960,5053,4866,4907,48354,M05,M00M05,S07M05,U04
19,2012-01-31,4980,5033,4886,4913,20274,M05,M00M05,M10M05,T01
20,2012-02-01,5006,5006,4866,4887,29981,M01,M00M01,M10M01,U01
21,2012-02-02,4933,4953,4853,4887,44871,M05,M00M05,M10M05,U04
22,2012-02-03,4933,4980,4860,4873,41302,M05,M00M05,M10M05,U04
23,2012-02-06,4880,4940,4793,4793,50674,M03,M00M03,M10M03,U04
24,2012-02-07,4853,4860,4780,4800,32276,M05,M00M05,M10M05,T01
25,2012-02-08,4800,4833,4746,4807,30488,K00,M00K00,M10K00,U01
26,2012-02-09,4786,5000,4786,4973,48838,P03,K00P03,S00P03,U04
27,2012-02-10,5000,5120,4920,5080,71828,P05,P00P05,P10P05,U04
28,2012-02-13,5093,5133,5000,5027,50959,M05,P00M05,P10M05,D04
29,2012-02-14,5080,5080,5000,5013,31984,M01,M00M01,S03M01,U04
30,2012-02-15,5093,5466,5020,5260,124155,P05,M00P05,M10P05,T01
31,2012-02-16,5240,5326,5180,5260,47211,K00,P00K00,S01K00,D04
32,2012-02-17,5320,5480,5260,5480,203182,P01,K00P01,P10P01,U04
33,2012-02-20,5526,5793,5393,5607,215968,P05,P00P05,P10P05,U04
34,2012-02-21,5626,5666,5460,5493,65134,M05,P00M05,P10M05,T01
35,2012-02-22,5493,5566,5266,5273,102343,M05,M00M05,S07M05,T01
36,2012-02-23,5266,5346,5213,5327,60399,P05,M00P05,M10P05,D04
37,2012-02-24,5360,5386,5200,5227,54713,M05,P00M05,S00M05,U04
38,2012-02-27,5280,5293,5126,5233,34860,M05,M00M05,S07M05,U03
39,2012-02-28,5240,5346,5240,5333,58310,P03,M00P03,M10P03,U01
40,2012-02-29,5346,5553,5346,5433,60569,P03,P00P03,S01P03,U04
41,2012-03-02,5446,5533,5333,5433,62469,M05,P00M05,P10M05,U04
42,2012-03-05,5393,5393,5193,5200,84204,M01,M00M01,S03M01,D04
43,2012-03-06,5146,5240,5060,5187,31750,P05,M00P05,M10P05,D04
44,2012-03-07,5046,5173,5046,5100,22806,P03,P00P03,S08P03,D04
45,2012-03-08,5093,5253,5093,5253,27772,P00,P00P00,P10P00,U04
46,2012-03-09,5253,5320,5200,5300,29284,P05,P00P05,P10P05,U04
47,2012-03-12,5240,5306,5146,5153,23378,M05,P00M05,P10M05,U04
48,2012-03-13,5246,5246,5080,5160,32710,M01,M00M01,S07M01,T01
49,2012-03-14,5233,5233,5146,5147,30995,M01,M00M01,M10M01,U04
50,2012-03-15,5200,5200,5060,5087,30789,M01,M00M01,M10M01,T01
51,2012-03-16,5166,5166,5040,5093,26151,M01,M00M01,M10M01,U04
52,2012-03-19,5166,5166,5053,5107,28205,M01,M00M01,M10M01,T01
53,2012-03-20,5173,5460,5133,5440,109432,P05,M00P05,M10P05,U04
54,2012-03-21,5433,5533,5326,5493,173677,P05,P00P05,S01P05,T01
55,2012-03-22,5493,5533,5346,5367,46280,M05,P00M05,P10M05,U01
56,2012-03-23,5366,5420,5326,5400,22825,P05,M00P05,S07P05,D04
57,2012-03-26,5413,5413,5266,5267,26690,M01,P00M01,S00M01,U02
58,2012-03-27,5226,5340,5173,5313,21780,P05,M00P05,S07P05,U04
59,2012-03-28,5306,5366,5206,5273,27630,M05,P00M05,S00M05,T01
60,2012-03-29,5326,5333,5186,5187,22913,M05,M00M05,S06M05,D04
61,2012-03-30,5113,5240,5073,5153,36369,P05,M00P05,M10P05,D04
62,2012-04-02,5153,5300,5146,5220,11094,P05,P00P05,S08P05,T01
63,2012-04-03,5286,5286,5133,5233,23524,M01,P00M01,P10M01,U04
64,2012-04-04,5173,5300,4953,5000,25171,M05,M00M05,S05M05,T01
