,date,open,high,low,close,volume,pattern1
0,2012-01-02,38050,38150,37200,37500,116151,M05
1,2012-01-03,37750,38400,37550,37850,177004,K00
2,2012-01-04,38050,38150,36950,37100,165642,M05
3,2012-01-05,37100,37300,36150,36350,212869,M05
4,2012-01-06,36100,36700,35700,36450,185126,P05
5,2012-01-09,36100,36350,35650,36000,105801,M05
6,2012-01-10,35800,37050,35800,36900,137309,P03
7,2012-01-11,37150,37200,36450,36900,142257,M05
8,2012-01-12,36800,36800,35750,35850,282163,M01
9,2012-01-13,36000,36150,34100,34600,668839,M05
10,2012-01-16,34800,35000,33650,34200,319581,M05
11,2012-01-17,34600,35400,34550,35300,341535,P05
12,2012-01-18,35400,35450,34250,34400,283170,M05
13,2012-01-19,34550,35050,33300,33450,426348,M05
14,2012-01-20,33450,34050,32350,32400,859646,M05
15,2012-01-25,32750,33150,32500,32700,449714,M05
16,2012-01-26,32750,33950,32750,33900,372631,P03
17,2012-01-27,34150,34150,33500,33950,240477,M02
18,2012-01-30,33650,33850,32800,32900,252434,M05
19,2012-01-31,32900,33650,32800,32850,197963,M05
20,2012-02-01,33000,34200,32900,34100,393908,P05
21,2012-02-02,34400,34450,33650,34300,459639,M05
22,2012-02-03,34350,34400,33300,33350,330802,M05
23,2012-02-06,32700,32700,30000,30700,1293567,M01
24,2012-02-07,30700,31300,30150,31200,451581,P05
25,2012-02-08,31300,31350,30050,30250,701036,M05
26,2012-02-09,30500,30800,30100,30400,407920,M05
27,2012-02-10,30700,32300,30550,30650,1251289,M05
28,2012-02-13,30950,31250,30550,30700,456521,M05
29,2012-02-14,30800,31000,30200,30300,646400,M05
30,2012-02-15,30550,31100,30150,31100,835718,P01
31,2012-02-16,30950,31700,30950,31550,545228,P03
32,2012-02-17,32000,32050,31050,31400,425732,M05
33,2012-02-20,31900,32100,31100,31400,287212,M05
34,2012-02-21,31750,32800,31600,32800,806113,P01
35,2012-02-22,32950,33200,32300,32750,472379,M05
36,2012-02-23,32700,32750,31450,31450,455298,M03
37,2012-02-24,31700,32050,31200,31450,230621,M05
38,2012-02-27,31650,31700,30500,30550,344339,M05
39,2012-02-28,30600,30650,30200,30450,337002,M05
40,2012-02-29,30750,31050,30450,30500,420292,M05
41,2012-03-02,30900,31950,30750,31900,569037,P05
42,2012-03-05,32250,32250,31350,31400,528030,M01
43,2012-03-06,31500,32000,30600,30950,385136,M05
44,2012-03-07,30250,30750,30250,30450,449964,P03
45,2012-03-08,30500,30900,30200,30250,898781,M05
46,2012-03-09,30450,30600,30250,30500,467054,K00
47,2012-03-12,30650,30650,29750,29800,618084,M01
48,2012-03-13,29900,30550,29700,29850,670247,M05
49,2012-03-14,30100,30450,29650,30400,545716,P05
50,2012-03-15,30650,32900,30600,32900,2450574,P01
51,2012-03-16,32950,33050,32000,32000,974028,M03
52,2012-03-19,32400,32850,31600,32550,911183,K01
53,2012-03-20,32600,33100,32050,32600,995849,K00
54,2012-03-21,32250,33800,32150,33200,1450189,P05
55,2012-03-22,33350,33800,32900,33200,659695,M05
56,2012-03-23,33000,33400,32300,33250,501497,P05
57,2012-03-26,33550,33550,32550,32800,326561,M01
58,2012-03-27,33100,33800,32900,33700,532094,P05
59,2012-03-28,33650,34150,33300,33800,471954,K00
60,2012-03-29,33600,33950,32950,33800,363818,P05
61,2012-03-30,33850,33850,33300,33500,352986,M01
62,2012-04-02,33550,33800,32800,33100,432142,M05
63,2012-04-03,33100,33100,30850,31250,966754,M01
64,2012-04-04,31350,31450,30400,31050,612090,M05
65,2012-04-05,31000,32250,30800,32150,508766,P05
66,2012-04-06,31850,32000,30300,30600,635102,M05
67,2012-04-09,30300,30450,28200,28650,929675,M05
68,2012-04-10,28750,29200,28450,28700,489064,M05
69,2012-04-12,28600,29300,28500,29200,301572,P05
70,2012-04-13,29500,30100,29300,29700,358510,P05
71,2012-04-16,29700,30350,29350,29900,271438,P05
72,2012-04-17,29900,30300,29050,29550,341421,M05
73,2012-04-18,30100,30100,29350,29700,172596,M01
74,2012-04-19,29600,30000,29400,29650,124356,K00
75,2012-04-20,29400,29600,28900,29250,193374,M05
76,2012-04-23,28850,29600,28650,28750,165876,M05
77,2012-04-24,28300,29300,28200,29150,232042,P05
78,2012-04-25,29150,29400,28200,28450,335517,M05
79,2012-04-26,28500,28700,28050,28100,206797,M05
80,2012-04-27,28300,30000,28250,29850,470082,P05
81,2012-04-30,30200,30900,29900,30850,398188,P05
82,2012-05-02,31100,31250,30350,30900,297313,M05
83,2012-05-03,30700,30900,30050,30600,287886,M05
84,2012-05-04,30500,31300,30500,31300,297753,P00
85,2012-05-07,30500,31850,30500,31600,405616,P03
86,2012-05-08,31700,32800,31300,32650,605316,P05
87,2012-05-09,32800,33150,32500,33000,503908,P05
88,2012-05-10,32950,33150,32550,32900,289666,M05
89,2012-05-11,32750,32750,31800,32000,264662,M01
90,2012-05-14,32050,32750,31500,32550,185882,P05
91,2012-05-15,32000,32250,31400,31400,238328,M03
92,2012-05-16,31100,31750,30200,30300,251237,M05
93,2012-05-17,30150,31150,30000,31000,186110,P05
94,2012-05-18,30200,30600,29900,29950,221516,M05
95,2012-05-21,30400,30450,29000,30000,164391,M05
96,2012-05-22,30300,30550,30000,30300,246854,K00
97,2012-05-23,30150,31050,29950,30750,184128,P05
98,2012-05-24,31200,32000,30800,31950,328183,P05
99,2012-05-25,32300,32500,31750,32400,312915,K01
100,2012-05-29,32100,32400,31550,31700,206401,M05
101,2012-05-30,31700,31700,30500,30900,271441,M01
102,2012-05-31,30050,31900,30050,31300,240337,P03
103,2012-06-01,31100,32000,31100,31900,215692,P03
104,2012-06-04,30750,31850,30750,31250,256217,P03
105,2012-06-05,31800,31850,31150,31500,175760,M05
106,2012-06-07,32100,32150,31250,31250,298229,M03
107,2012-06-08,32150,33100,31950,32300,691703,K00
108,2012-06-11,32850,33250,32500,32650,283080,M05
109,2012-06-12,32500,32900,32100,32900,191142,P01
110,2012-06-13,33100,33100,32350,32350,209825,M00
111,2012-06-14,32450,33850,32450,33800,745805,P03
112,2012-06-15,33750,34350,33250,33250,509410,M03
113,2012-06-18,33950,33950,33450,33800,406790,M02
114,2012-06-19,33950,34200,33600,33950,338362,K00
