,종목코드
637,019175
638,019180
639,019210
640,019440
641,019490
642,019540
643,019550
644,019570
645,019590
646,019660
647,019680
648,019685
649,019770
650,019990
651,020000
652,020120
653,020150
654,020180
655,020400
656,020560
657,020710
658,020760
659,021040
660,021045
661,021050
662,021080
663,021240
664,021320
665,021650
666,021820
667,021880
668,022100
669,022220
670,023000
671,023150
672,023160
673,023350
674,023410
675,023440
676,023450
677,023460
678,023530
679,023590
680,023600
681,023760
682,023770
683,023790
684,023800
685,023810
686,023890
687,023900
688,023910
689,023960
690,024060
691,024070
692,024090
693,024110
694,024120
695,024720
696,024740
697,024800
698,024810
699,024830
700,024840
701,024850
702,024880
703,024890
704,024900
705,024910
706,024940
707,024950
708,025000
709,025320
710,025440
711,025530
712,025540
713,025550
714,025560
715,025620
716,025750
717,025770
718,025820
719,025860
720,025870
721,025880
722,025890
723,025900
724,025950
725,025980
726,026040
727,026150
728,026890
729,026910
730,026940
731,026960
732,027040
733,027050
734,027360
735,027410
736,027580
737,027710
738,027740
739,027830
740,027970
741,028040
742,028050
743,028080
744,028100
745,028150
746,028260
747,02826K
748,028300
749,028670
750,029460
751,029480
752,029530
753,029780
754,029960
755,030000
756,030190
757,030200
758,030210
759,030350
760,030520
761,030530
762,030610
763,030720
764,030790
765,030960
766,031310
767,031330
768,031390
769,031430
770,031440
771,031510
772,031820
773,031860
774,031980
775,032080
776,032190
777,032280
778,032300
779,032350
780,032500
781,032540
782,032560
783,032580
784,032620
785,032640
786,032680
787,032685
788,032750
789,032790
790,032800
791,032820
792,032830
793,032850
794,032860
795,032940
796,032960
797,032980
798,033050
799,033100
800,033110
801,033130
802,033160
803,033170
804,033180
805,033200
806,033230
807,033240
808,033250
809,033270
810,033290
811,033310
812,033320
813,033340
814,033430
815,033500
816,033530
817,033540
818,033560
819,033600
820,033640
821,033660
822,033780
823,033790
824,033830
825,033920
826,034020
827,034120
828,034220
829,034230
830,034300
831,034310
832,034590
833,034730
834,03473K
835,034810
836,034830
837,034940
838,034950
839,035000
840,035080
841,035150
842,035200
843,035250
844,035290
845,035420
846,035460
847,035510
848,035600
849,035610
850,035620
851,035720
852,035760
853,035810
854,035890
855,035900
856,036000
857,036010
858,036030
859,036090
860,036120
861,036170
862,036180
863,036190
864,036200
865,036260
866,036420
867,036460
868,036480
869,036490
870,036530
871,036540
872,036560
873,036570
874,036580
875,036620
876,036630
877,036640
878,036670
879,036690
880,036710
881,036800
882,036810
883,036830
884,036890
885,036930
886,037030
887,037070
888,037230
889,037270
890,037330
891,037350
892,037370
893,037400
894,037440
895,037460
896,037560
897,037710
898,037760
899,037950
900,038010
901,038060
902,038070
903,038110
904,038160
905,038290
906,038340
907,038390
908,038460
909,038500
910,038530
911,038540
912,038620
913,038680
914,038870
915,038880
916,038950
917,039010
918,039020
919,039030
920,039130
921,039200
922,039230
923,039240
924,039290
925,039310
926,039340
927,039420
928,039440
929,039490
930,039560
931,039570
932,039610
933,039670
934,039740
935,039830
936,039840
937,039860
938,039980
939,040160
940,040300
941,040350
942,040420
943,040610
944,040910
945,041020
946,041140
947,041190
948,041440
949,041460
950,041510
951,041520
952,041590
953,041650
954,041830
955,041910
956,041920
957,041930
958,041960
959,042000
960,042040
961,042110
962,042370
963,042420
964,042500
965,042510
966,042520
967,042600
968,042660
969,042670
970,042700
971,042940
972,043090
973,043100
974,043150
975,043200
976,043220
977,043260
978,043290
979,043340
980,043360
981,043370
982,043590
983,043610
984,043650
985,043710
986,043910
987,044060
988,044180
989,044340
990,044380
991,044450
992,044480
993,044490
994,044780
995,044820
996,044960
997,044990
998,045060
999,045100
1000,045300
1001,045340
1002,045390
1003,045510
1004,045520
1005,045660
1006,045890
1007,045970
1008,046070
1009,046110
1010,046120
1011,046140
1012,046210
1013,046310
1014,046390
1015,046440
1016,046890
1017,046940
1018,046970
1019,047040
1020,047050
1021,047080
1022,047310
1023,047400
1024,047560
1025,047770
1026,047810
1027,047820
1028,047920
1029,048260
1030,048410
1031,048430
1032,048470
1033,048530
1034,048550
1035,048770
1036,048830
1037,048870
1038,048910
1039,049070
1040,049080
1041,049120
1042,049180
1043,049430
1044,049470
1045,049480
1046,049520
1047,049550
1048,049630
1049,049720
1050,049770
1051,049800
1052,049830
1053,049950
1054,049960
1055,050090
1056,050110
1057,050120
1058,050320
1059,050540
1060,050760
1061,050860
1062,050890
1063,050960
1064,051160
1065,051360
1066,051370
1067,051380
1068,051390
1069,051490
1070,051500
1071,051600
1072,051630
1073,051780
1074,051900
1075,051905
1076,051910
1077,051915
1078,051980
1079,052020
1080,052190
1081,052220
1082,052260
1083,052300
1084,052330
1085,052400
1086,052420
1087,052460
1088,052600
1089,052670
1090,052690
1091,052710
1092,052770
1093,052790
1094,052860
1095,052900
1096,053030
1097,053050
1098,053060
1099,053080
1100,053110
1101,053160
1102,053210
1103,053260
1104,053270
